id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"jupyter","jupyter","jupyter","Interactive computing environment (metapackage)","","","1","1","","","","Section=metapackages; Version=5.7.2-5","","","","","",""
"jupyter-client","jupyter-client","jupyter-client","Jupyter protocol client APIs (tools)","","","1","1","","","","Section=utils; Version=8.6.3-2","","","","","",""
"jupyter-console","jupyter-console","jupyter-console","Jupyter terminal client (script)","","","1","1","","","","Section=utils; Version=6.6.3-2","","","","","",""
"jupyter-core","jupyter-core","jupyter-core","Core common functionality of Jupyter projects (tools)","","","1","1","","","","Section=utils; Version=5.7.2-5","","","","","",""
"jupyter-nbformat","jupyter-nbformat","jupyter-nbformat","Jupyter notebook format (tools)","","","1","1","","","","Section=utils; Version=5.9.1-1","","","","","",""
"python3-jupyter-client","python3-jupyter-client","python3-jupyter-client","Jupyter protocol client APIs (Python 3)","","","1","1","","","","Section=python; Version=8.6.3-2","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","",""
"python3-jupyter-console","python3-jupyter-console","python3-jupyter-console","Jupyter terminal client (Python 3)","","","1","1","","","","Section=python; Version=6.6.3-2","","","","","",""
"python3-jupyter-core","python3-jupyter-core","python3-jupyter-core","Core common functionality of Jupyter projects for Python 3","","","1","1","","","","Section=python; Version=5.7.2-5","","","","","",""
"python3-nbformat","python3-nbformat","python3-nbformat","Jupyter notebook format (Python 3)","","","1","1","","","","Section=python; Version=5.9.1-1","","","","","",""
"","","","","","","","","","","","","jupyter","jupyter-client","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter","jupyter-console","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter","jupyter-core","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter","jupyter-nbformat","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-client","jupyter-core","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-client","python3-jupyter-client","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-client","python3:any","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-console","python3-jupyter-console","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-console","python3:any","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-console","jupyter-core","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-core","python3-jupyter-core","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-core","python3:any","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-nbformat","jupyter-core","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-nbformat","python3-nbformat","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","jupyter-nbformat","python3:any","Depends","#333","1","Depends","{}"
