"id","name","label","description","color","fillColor","weight","rawWeight","lat","lng","start","end","time","date","source","target","edgeLabel","edgeColor","edgeWeight","relationship","enlightement","emoji","extra"
"1","Alice","Alice A","Node with geo & time","#ff5722","#ffccbc","10","10","40.7128","-74.0060","2020-01-01","2020-12-31","2020-06-15","2020-06-15","","","","","","","","","notes for alice"
"2","Bob","Bob B","Another node","#3f51b5","#c5cae9","5","5","34.0522","-118.2437","2019-05-01","2019-12-31","2019-09-10","2019-09-10","","","","","","","","🎸 🎤","preferred contact"
"3","Carol","Carol C","Third node","#2e7d32","#c8e6c9","8","8","51.5074","-0.1278","2021-03-10","2021-10-10","2021-06-20","2021-06-20","","","","","","","","🎤","imported"
"","","","","","","","","","","","","","","1","2","friendship","#9c27b0","2","friendship","arrow","","note about edge"
"","","","","","","","","","","","","","","2","3","collab","#607d8b","1","collab","","🎸 🎤","notes"
"","","","","","","","","","","","","","","3","1","support","#ff9800","3","support","arrow","","notes"
"","","","","","","","","","","","","","","1","3","mentions","#4caf50","1","mentions","","","notes"
"","","","","","","","","","","","","","","2","1","replies","#795548","1","replies","arrow","","notes"
"","","","","","","","","","","","","","","3","2","links","#616161","1","links","","","notes"

