id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
adb,adb,adb,Android Debug Bridge,,,1,1,,,,Section=devel; Version=1:34.0.5-12,,,,,,,
android-libbase,android-libbase,android-libbase,Android base library,,,1,1,,,,Section=libs; Version=1:34.0.5-12,,,,,,,
android-libboringssl,android-libboringssl,android-libboringssl,Google's internal fork of OpenSSL for the Android SDK,,,1,1,,,,Section=libs; Version=14.0.0+r45-2,,,,,,,
android-libcutils,android-libcutils,android-libcutils,Android utils library for C,,,1,1,,,,Section=libs; Version=1:34.0.5-12,,,,,,,
android-liblog,android-liblog,android-liblog,Android NDK logger interfaces,,,1,1,,,,Section=libs; Version=1:34.0.5-12,,,,,,,
android-libziparchive,android-libziparchive,android-libziparchive,Library for ZIP archives,,,1,1,,,,Section=libs; Version=1:34.0.5-12,,,,,,,
libbrotli1,libbrotli1,libbrotli1,library implementing brotli encoder and decoder (shared libraries),,,1,1,,,,Section=libs; Version=1.1.0-2+b7,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
liblz4-1,liblz4-1,liblz4-1,Fast LZ compression algorithm library - runtime,,,1,1,,,,Section=libs; Version=1.10.0-4,,,,,,,
libprotobuf32t64,libprotobuf32t64,libprotobuf32t64,protocol buffers C++ library,,,1,1,,,,Section=libs; Version=3.21.12-11,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libusb-1.0-0,libusb-1.0-0,libusb-1.0-0,userspace USB programming library,,,1,1,,,,Section=libs; Version=2:1.0.28-1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
android-udev-rules,android-udev-rules,android-udev-rules,udev rules for Android tools,,,1,1,,,,Section=devel; Version=0~20250314+ds-5,,,,,,,
libbsd0,libbsd0,libbsd0,utility functions from BSD systems - shared library,,,1,1,,,,Section=libs; Version=0.12.2-2,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libxxhash0,libxxhash0,libxxhash0,shared library for xxhash,,,1,1,,,,Section=libs; Version=0.8.3-2,,,,,,,
libudev1,libudev1,libudev1,libudev shared library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
,,,,,,,,,,,,android-libbase,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-libboringssl,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-libcutils,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-liblog,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-libziparchive,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libbrotli1,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblz4-1,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libprotobuf32t64,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libusb-1.0-0,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-udev-rules,adb,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-liblog,android-libbase,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,android-libbase,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,android-libbase,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,android-libbase,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,android-libboringssl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,android-libboringssl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,android-libboringssl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-libbase,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-liblog,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libbsd0,android-libcutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,android-liblog,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,android-liblog,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,android-liblog,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-libbase,android-libziparchive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,android-liblog,android-libziparchive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,android-libziparchive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,android-libziparchive,Depends,#333,1,Depends,{}
