id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
appstream,appstream,appstream,Software component metadata management,,,1,1,,,,Section=admin; Version=1.0.5-1,,,,,,,
shared-mime-info,shared-mime-info,shared-mime-info,FreeDesktop.org shared MIME database and spec,,,1,1,,,,Section=misc; Version=2.4-5+b2,,,,,,,
libappstream5,libappstream5,libappstream5,Library to access AppStream services,,,1,1,,,,Section=libs; Version=1.0.5-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libxml2,libxml2,libxml2,GNOME XML library,,,1,1,,,,Section=libs; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1,,,,,,,
libcurl3t64-gnutls,libcurl3t64-gnutls,libcurl3t64-gnutls,easy-to-use client-side URL transfer library (GnuTLS flavour),,,1,1,,,,Section=libs; Version=8.14.1-2,,,,,,,
libstemmer0d,libstemmer0d,libstemmer0d,Snowball stemming algorithms for use in Information Retrieval,,,1,1,,,,Section=libs; Version=2.2.0-4+b2,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
libxmlb2,libxmlb2,libxmlb2,Binary XML library,,,1,1,,,,Section=libs; Version=0.3.22-1,,,,,,,
libyaml-0-2,libyaml-0-2,libyaml-0-2,Fast YAML 1.1 parser and emitter library,,,1,1,,,,Section=libs; Version=0.2.5-2,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libatomic1,libatomic1,libatomic1,support library providing __atomic built-in functions,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libffi8,libffi8,libffi8,Foreign Function Interface library runtime,,,1,1,,,,Section=libs; Version=3.4.8-2,,,,,,,
libmount1,libmount1,libmount1,device mounting library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libglib2.0-data,libglib2.0-data,libglib2.0-data,Common files for GLib library,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
xdg-user-dirs,xdg-user-dirs,xdg-user-dirs,tool to manage well known user directories,,,1,1,,,,Section=utils; Version=0.18-2,,,,,,,
,,,,,,,,,,,,shared-mime-info,appstream,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libappstream5,appstream,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,appstream,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,appstream,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,shared-mime-info,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,shared-mime-info,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,shared-mime-info,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,shared-mime-info,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml2,shared-mime-info,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcurl3t64-gnutls,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstemmer0d,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsystemd0,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml2,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxmlb2,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libyaml-0-2,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,libappstream5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libatomic1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libffi8,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmount1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpcre2-8-0,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-data,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,shared-mime-info,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,xdg-user-dirs,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
