id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libapr1-dev,libapr1-dev,libapr1-dev,Apache Portable Runtime Library - Development Headers,,,1,1,,,,Section=libdevel; Version=1.7.5-1,,,,,,,
libapr1t64,libapr1t64,libapr1t64,Apache Portable Runtime Library,,,1,1,,,,Section=libs; Version=1.7.5-1,,,,,,,
uuid-dev,uuid-dev,uuid-dev,Universally Unique ID library - headers and static libraries,,,1,1,,,,Section=libdevel; Version=2.41-5,,,,,,,
libsctp-dev,libsctp-dev,libsctp-dev,user-space access to Linux kernel SCTP - development files,,,1,1,,,,Section=libdevel; Version=1.0.21+dfsg-1,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libuuid1,libuuid1,libuuid1,Universally Unique ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libsctp1,libsctp1,libsctp1,user-space access to Linux kernel SCTP - shared library,,,1,1,,,,Section=libs; Version=1.0.21+dfsg-1,,,,,,,
,,,,,,,,,,,,libapr1t64,libapr1-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,uuid-dev,libapr1-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsctp-dev,libapr1-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,libapr1-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libapr1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libuuid1,libapr1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6-dev,uuid-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libuuid1,uuid-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsctp1,libsctp-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6-dev,libsctp-dev,Depends,#333,1,Depends,{}
