id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"audispd-plugins","audispd-plugins","audispd-plugins","Plugins for the audit event dispatcher","","","1","1","","","","Section=admin; Version=1:4.0.2-2+b2","","","","","","","",""
"auditd","auditd","auditd","User space tools for security auditing","","","1","1","","","","Section=admin; Version=1:4.0.2-2+b2","","","","","","","",""
"libauparse0t64","libauparse0t64","libauparse0t64","Dynamic library for parsing security auditing","","","1","1","","","","Section=libs; Version=1:4.0.2-2+b2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcap-ng0","libcap-ng0","libcap-ng0","alternate POSIX capabilities library","","","1","1","","","","Section=libs; Version=0.8.5-4+b1","","","","","","","",""
"libgssapi-krb5-2","libgssapi-krb5-2","libgssapi-krb5-2","MIT Kerberos runtime libraries - krb5 GSS-API Mechanism","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","","","",""
"libkrb5-3","libkrb5-3","libkrb5-3","MIT Kerberos runtime libraries","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","","","",""
"libldap2","libldap2","libldap2","OpenLDAP libraries","","","1","1","","","","Section=libs; Version=2.6.10+dfsg-1","","","","","","","",""
"libaudit1","libaudit1","libaudit1","Dynamic library for security auditing","","","1","1","","","","Section=libs; Version=1:4.0.2-2+b2","","","","","","","",""
"mawk","mawk","mawk","Pattern scanning and text processing language","","","1","1","","","","Section=interpreters; Version=1.3.4.20250131-1","","","","","","","",""
"libwrap0","libwrap0","libwrap0","Wietse Venema's TCP wrappers library","","","1","1","","","","Section=libs; Version=7.6.q-36","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libcom-err2","libcom-err2","libcom-err2","common error description library","","","1","1","","","","Section=libs; Version=1.47.2-3+b3","","","","","","","",""
"libk5crypto3","libk5crypto3","libk5crypto3","MIT Kerberos runtime libraries - Crypto Library","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","","","",""
"libkrb5support0","libkrb5support0","libkrb5support0","MIT Kerberos runtime libraries - Support library","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","","","",""
"libkeyutils1","libkeyutils1","libkeyutils1","Linux Key Management Utilities (library)","","","1","1","","","","Section=libs; Version=1.6.3-6","","","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","","","",""
"krb5-locales","krb5-locales","krb5-locales","internationalization support for MIT Kerberos","","","1","1","","","","Section=localization; Version=1.21.3-5","","","","","","","",""
"libsasl2-2","libsasl2-2","libsasl2-2","Cyrus SASL - authentication abstraction library","","","1","1","","","","Section=libs; Version=2.1.28+dfsg1-9","","","","","","","",""
"libldap-common","libldap-common","libldap-common","OpenLDAP common files for libraries","","","1","1","","","","Section=libs; Version=2.6.10+dfsg-1","","","","","","","",""
"","","","","","","","","","","","","audispd-plugins","auditd","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libauparse0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libcap-ng0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libgssapi-krb5-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libkrb5-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","audispd-plugins","libldap2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libaudit1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libauparse0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","mawk","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libcap-ng0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libgssapi-krb5-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libkrb5-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","auditd","libwrap0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libauparse0t64","libaudit1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libauparse0t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libcap-ng0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgssapi-krb5-2","libkrb5-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgssapi-krb5-2","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgssapi-krb5-2","libcom-err2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgssapi-krb5-2","libk5crypto3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgssapi-krb5-2","libkrb5support0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libkrb5support0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libcom-err2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libk5crypto3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libkeyutils1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","libssl3t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkrb5-3","krb5-locales","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libldap2","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libldap2","libsasl2-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libldap2","libssl3t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libldap2","libldap-common","Recommends","#333","1","Recommends","arrow","{}"
