id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
avahi-autoipd,avahi-autoipd,avahi-autoipd,Avahi IPv4LL network address configuration daemon,,,1,1,,,,Section=net; Version=0.8-16,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libdaemon0,libdaemon0,libdaemon0,lightweight C library for daemons - runtime library,,,1,1,,,,Section=libs; Version=0.14-7.1+b3,,,,,,,
adduser,adduser,adduser,add and remove users and groups,,,1,1,,,,Section=admin; Version=3.152,,,,,,,
iproute2,iproute2,iproute2,networking and traffic control tools,,,1,1,,,,Section=net; Version=6.15.0-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
passwd,passwd,passwd,change and administer password and group data,,,1,1,,,,Section=admin; Version=1:4.17.4-2,,,,,,,
debconf,debconf,debconf,Debian configuration management system,,,1,1,,,,Section=admin; Version=1.5.91,,,,,,,
libbpf1,libbpf1,libbpf1,eBPF helper library (shared library),,,1,1,,,,Section=libs; Version=1:1.5.0-3,,,,,,,
libcap2,libcap2,libcap2,POSIX 1003.1e capabilities (library),,,1,1,,,,Section=libs; Version=1:2.75-10+b1,,,,,,,
libdb5.3t64,libdb5.3t64,libdb5.3t64,Berkeley v5.3 Database Libraries [runtime],,,1,1,,,,Section=libs; Version=5.3.28+dfsg2-9,,,,,,,
libelf1t64,libelf1t64,libelf1t64,library to read and write ELF files,,,1,1,,,,Section=libs; Version=0.192-4,,,,,,,
libmnl0,libmnl0,libmnl0,minimalistic Netlink communication library,,,1,1,,,,Section=libs; Version=1.0.5-3,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
libtirpc3t64,libtirpc3t64,libtirpc3t64,transport-independent RPC library,,,1,1,,,,Section=libs; Version=1.3.6+ds-1,,,,,,,
libxtables12,libxtables12,libxtables12,netfilter xtables library,,,1,1,,,,Section=libs; Version=1.8.11-2,,,,,,,
libcap2-bin,libcap2-bin,libcap2-bin,POSIX 1003.1e capabilities (utilities),,,1,1,,,,Section=utils; Version=1:2.75-10+b1,,,,,,,
,,,,,,,,,,,,libc6,avahi-autoipd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdaemon0,avahi-autoipd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,adduser,avahi-autoipd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,iproute2,avahi-autoipd,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libdaemon0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,passwd,adduser,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libbpf1,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdb5.3t64,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libelf1t64,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmnl0,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtirpc3t64,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxtables12,iproute2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2-bin,iproute2,Depends,#333,1,Depends,{}
