id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libboost-atomic1.83-dev","libboost-atomic1.83-dev","libboost-atomic1.83-dev","atomic data types, operations, and memory ordering constraints","","","1","1","","","","Section=libdevel; Version=1.83.0-4.2","","","","","","","",""
"libboost1.83-dev","libboost1.83-dev","libboost1.83-dev","Boost C++ Libraries development files","","","1","1","","","","Section=libdevel; Version=1.83.0-4.2","","","","","","","",""
"libboost-atomic1.83.0","libboost-atomic1.83.0","libboost-atomic1.83.0","atomic data types, operations, and memory ordering constraints","","","1","1","","","","Section=libs; Version=1.83.0-4.2","","","","","","","",""
"libstdc++-14-dev","libstdc++-14-dev","libstdc++-14-dev","GNU Standard C++ Library v3 (development files)","","","1","1","","","","Section=libdevel; Version=14.2.0-19","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"","","","","","","","","","","","","libboost-atomic1.83-dev","libboost1.83-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libboost-atomic1.83-dev","libboost-atomic1.83.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libboost1.83-dev","libstdc++-14-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libboost-atomic1.83.0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libboost-atomic1.83.0","libstdc++6","Depends","#333","1","Depends","arrow","{}"
