id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
budgie-core,budgie-core,budgie-core,Core package for Budgie-Desktop,,,1,1,,,,Section=x11; Version=10.9.2-8,,,,,,,
gnome-screensaver,gnome-screensaver,gnome-screensaver,Screensaver and screen lock formerly used in GNOME,,,1,1,,,,Section=gnome; Version=3.6.1-14,,,,,,,
budgie-session,budgie-session,budgie-session,Budgie Session Manager,,,1,1,,,,Section=misc; Version=0.9.1-3,,,,,,,
gnome-settings-daemon,gnome-settings-daemon,gnome-settings-daemon,daemon handling the GNOME session settings,,,1,1,,,,Section=gnome; Version=48.1-1,,,,,,,
zenity,zenity,zenity,Display graphical dialog boxes from shell scripts,,,1,1,,,,Section=gnome; Version=4.1.90-1,,,,,,,
dconf-gsettings-backend,dconf-gsettings-backend,dconf-gsettings-backend,simple configuration storage system - GSettings back-end,,,1,1,,,,Section=libs; Version=0.40.0-5,,,,,,,
libasound2t64,libasound2t64,libasound2t64,shared library for ALSA applications,,,1,1,,,,Section=libs; Version=1.2.14-1,,,,,,,
libbudgie-appindexer0,libbudgie-appindexer0,libbudgie-appindexer0,Menu library for budgie-desktop,,,1,1,,,,Section=libs; Version=10.9.2-8,,,,,,,
libbudgie-plugin0,libbudgie-plugin0,libbudgie-plugin0,Plugin library for budgie-desktop,,,1,1,,,,Section=libs; Version=10.9.2-8,,,,,,,
libbudgie-private0,libbudgie-private0,libbudgie-private0,Budgie Private library for budgie-desktop,,,1,1,,,,Section=libs; Version=10.9.2-8,,,,,,,
libbudgie-raven-plugin0,libbudgie-raven-plugin0,libbudgie-raven-plugin0,Raven Plugin library for budgie-desktop,,,1,1,,,,Section=libs; Version=10.9.2-8,,,,,,,
libbudgietheme0,libbudgietheme0,libbudgietheme0,Theme library for budgie-desktop,,,1,1,,,,Section=libs; Version=10.9.2-8,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcairo2,libcairo2,libcairo2,Cairo 2D vector graphics library,,,1,1,,,,Section=libs; Version=1.18.4-1+b1,,,,,,,
libcanberra-gtk3-0,libcanberra-gtk3-0,libcanberra-gtk3-0,GTK+ 3.0 helper for playing widget event sounds with libcanberra,,,1,1,,,,Section=libs; Version=0.30-18,,,,,,,
libcanberra0,libcanberra0,libcanberra0,simple abstract interface for playing event sounds,,,1,1,,,,Section=libs; Version=0.30-18,,,,,,,
libgdk-pixbuf-2.0-0,libgdk-pixbuf-2.0-0,libgdk-pixbuf-2.0-0,GDK Pixbuf library,,,1,1,,,,Section=libs; Version=2.42.12+dfsg-4,,,,,,,
libgee-0.8-2,libgee-0.8-2,libgee-0.8-2,GObject based collection and utility library,,,1,1,,,,Section=libs; Version=0.20.8-1,,,,,,,
libgirepository-1.0-1,libgirepository-1.0-1,libgirepository-1.0-1,Library for handling GObject introspection data (runtime library),,,1,1,,,,Section=libs; Version=1.84.0-1,,,,,,,
libgles2,libgles2,libgles2,Vendor neutral GL dispatch library -- GLESv2 support,,,1,1,,,,Section=libs; Version=1.7.0-1+b2,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
