id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ceph,ceph,ceph,distributed storage and file system,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-mgr,ceph-mgr,ceph-mgr,manager for the ceph distributed file system,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-mon,ceph-mon,ceph-mon,monitor server for the ceph storage system,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-osd,ceph-osd,ceph-osd,OSD server for the ceph storage system,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-common,ceph-common,ceph-common,common utilities to mount and interact with a ceph storage cluster,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-mgr-modules-core,ceph-mgr-modules-core,ceph-mgr-modules-core,ceph manager modules which are always enabled,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
libsqlite3-mod-ceph,libsqlite3-mod-ceph,libsqlite3-mod-ceph,SQLite3 VFS for Ceph,,,1,1,,,,Section=libs; Version=18.2.7+ds-1,,,,,,,
python3-bcrypt,python3-bcrypt,python3-bcrypt,password hashing library for Python 3,,,1,1,,,,Section=python; Version=4.2.0-2.1+b1,,,,,,,
python3-ceph-argparse,python3-ceph-argparse,python3-ceph-argparse,Python 3 utility libraries for Ceph CLI,,,1,1,,,,Section=python; Version=18.2.7+ds-1,,,,,,,
python3-cephfs,python3-cephfs,python3-cephfs,Python 3 libraries for the Ceph libcephfs library,,,1,1,,,,Section=python; Version=18.2.7+ds-1,,,,,,,
python3-cherrypy3,python3-cherrypy3,python3-cherrypy3,Python web development framework - Python 3 module,,,1,1,,,,Section=python; Version=18.10.0-1,,,,,,,
python3-jwt,python3-jwt,python3-jwt,Python 3 implementation of JSON Web Token,,,1,1,,,,Section=python; Version=2.10.1-2,,,,,,,
python3-openssl,python3-openssl,python3-openssl,Python 3 wrapper around the OpenSSL library,,,1,1,,,,Section=python; Version=25.0.0-1,,,,,,,
python3-pecan,python3-pecan,python3-pecan,WSGI object-dispatching web framework - Python 3.x,,,1,1,,,,Section=python; Version=1.5.1-6,,,,,,,
python3-requests,python3-requests,python3-requests,"elegant and simple HTTP library for Python3, built for human beings",,,1,1,,,,Section=python; Version=2.32.3+dfsg-5,,,,,,,
python3-werkzeug,python3-werkzeug,python3-werkzeug,Collection of utilities for WSGI applications (Python 3.x),,,1,1,,,,Section=python; Version=3.1.3-2,,,,,,,
python3-yaml,python3-yaml,python3-yaml,YAML parser and emitter for Python3,,,1,1,,,,Section=python; Version=6.0.2-1+b2,,,,,,,
libboost-python1.83.0,libboost-python1.83.0,libboost-python1.83.0,Boost.Python Library,,,1,1,,,,Section=libs; Version=1.83.0-4.2,,,,,,,
libboost-python1.83.0-py313,libboost-python1.83.0-py313,libboost-python1.83.0-py313,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfmt10,libfmt10,libfmt10,fast type-safe C++ formatting library -- library,,,1,1,,,,Section=libs; Version=10.1.1+ds1-4,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgoogle-perftools4t64,libgoogle-perftools4t64,libgoogle-perftools4t64,"libraries for CPU and heap analysis, plus an efficient thread-caching malloc",,,1,1,,,,Section=libs; Version=2.16-1,,,,,,,
libpython3.13,libpython3.13,libpython3.13,Shared Python runtime library (version 3.13),,,1,1,,,,Section=libs; Version=3.13.5-2,,,,,,,
librados2,librados2,librados2,RADOS distributed object store client library,,,1,1,,,,Section=libs; Version=18.2.7+ds-1,,,,,,,
libsqlite3-0,libsqlite3-0,libsqlite3-0,SQLite 3 shared library,,,1,1,,,,Section=libs; Version=3.46.1-7,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libboost-program-options1.83.0,libboost-program-options1.83.0,libboost-program-options1.83.0,program options library for C++,,,1,1,,,,Section=libs; Version=1.83.0-4.2,,,,,,,
liblz4-1,liblz4-1,liblz4-1,Fast LZ compression algorithm library - runtime,,,1,1,,,,Section=libs; Version=1.10.0-4,,,,,,,
libsnappy1v5,libsnappy1v5,libsnappy1v5,fast compression/decompression library,,,1,1,,,,Section=libs; Version=1.2.2-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
ceph-base,ceph-base,ceph-base,common ceph daemon libraries and management tools,,,1,1,,,,Section=admin; Version=18.2.7+ds-1,,,,,,,
ceph-volume,ceph-volume,ceph-volume,tool to facilidate OSD deployment,,,1,1,,,,Section=python; Version=18.2.7+ds-1,,,,,,,
lvm2,lvm2,lvm2,Linux Logical Volume Manager,,,1,1,,,,Section=admin; Version=2.03.31-2,,,,,,,
sudo,sudo,sudo,Provide limited super user privileges to specific users,,,1,1,,,,Section=admin; Version=1.9.16p2-3,,,,,,,
libaio1t64,libaio1t64,libaio1t64,Linux kernel AIO access library - shared library,,,1,1,,,,Section=libs; Version=0.3.113-8+b1,,,,,,,
