id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"corosync","corosync","corosync","cluster engine daemon and utilities","","","1","1","","","","Section=admin; Version=3.1.9-2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcfg7","libcfg7","libcfg7","cluster engine CFG library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"libcmap4","libcmap4","libcmap4","cluster engine CMAP library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"libcorosync-common4","libcorosync-common4","libcorosync-common4","cluster engine common library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"libcpg4","libcpg4","libcpg4","cluster engine CPG library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"libknet1t64","libknet1t64","libknet1t64","kronosnet core switching implementation","","","1","1","","","","Section=libs; Version=1.31-1","","","","","","","",""
"libnozzle1t64","libnozzle1t64","libnozzle1t64","userland wrapper around kernel tap devices","","","1","1","","","","Section=libs; Version=1.31-1","","","","","","","",""
"libqb100","libqb100","libqb100","high performance client server features library","","","1","1","","","","Section=libs; Version=2.0.8-2+b1","","","","","","","",""
"libquorum5","libquorum5","libquorum5","cluster engine Quorum library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"libstatgrab10t64","libstatgrab10t64","libstatgrab10t64","library being useful interface to system statistics","","","1","1","","","","Section=libs; Version=0.92.1-1.2","","","","","","","",""
"libsystemd0","libsystemd0","libsystemd0","systemd utility library","","","1","1","","","","Section=libs; Version=257.8-1~deb13u1","","","","","","","",""
"libvotequorum8","libvotequorum8","libvotequorum8","cluster engine Votequorum library","","","1","1","","","","Section=libs; Version=3.1.9-2","","","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","","","",""
"libqb-tools","libqb-tools","libqb-tools","high performance client server features library (tools)","","","1","1","","","","Section=devel; Version=2.0.8-2+b1","","","","","","","",""
"xsltproc","xsltproc","xsltproc","XSLT 1.0 command line processor","","","1","1","","","","Section=text; Version=1.1.35-1.2+deb13u1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libbz2-1.0","libbz2-1.0","libbz2-1.0","high-quality block-sorting file compressor library - runtime","","","1","1","","","","Section=libs; Version=1.0.8-6","","","","","","","",""
"liblz4-1","liblz4-1","liblz4-1","Fast LZ compression algorithm library - runtime","","","1","1","","","","Section=libs; Version=1.10.0-4","","","","","","","",""
"liblzma5","liblzma5","liblzma5","XZ-format compression library","","","1","1","","","","Section=libs; Version=5.8.1-1","","","","","","","",""
"liblzo2-2","liblzo2-2","liblzo2-2","data compression library","","","1","1","","","","Section=libs; Version=2.10-3+b1","","","","","","","",""
"libnspr4","libnspr4","libnspr4","NetScape Portable Runtime Library","","","1","1","","","","Section=libs; Version=2:4.36-1","","","","","","","",""
"libnss3","libnss3","libnss3","Network Security Service libraries","","","1","1","","","","Section=libs; Version=2:3.110-1","","","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"libnl-3-200","libnl-3-200","libnl-3-200","library for dealing with netlink sockets","","","1","1","","","","Section=libs; Version=3.7.0-2","","","","","","","",""
"libnl-route-3-200","libnl-route-3-200","libnl-route-3-200","library for dealing with netlink sockets - route interface","","","1","1","","","","Section=libs; Version=3.7.0-2","","","","","","","",""
"libcap2","libcap2","libcap2","POSIX 1003.1e capabilities (library)","","","1","1","","","","Section=libs; Version=1:2.75-10+b1","","","","","","","",""
"passwd","passwd","passwd","change and administer password and group data","","","1","1","","","","Section=admin; Version=1:4.17.4-2","","","","","","","",""
"libxml2","libxml2","libxml2","GNOME XML library","","","1","1","","","","Section=libs; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1","","","","","","","",""
"libxslt1.1","libxslt1.1","libxslt1.1","XSLT 1.0 processing library - runtime library","","","1","1","","","","Section=libs; Version=1.1.35-1.2+deb13u1","","","","","","","",""
"","","","","","","","","","","","","corosync","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libcfg7","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libcmap4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libcorosync-common4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libcpg4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libknet1t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libnozzle1t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libqb100","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libquorum5","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libstatgrab10t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libsystemd0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libvotequorum8","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","adduser","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","libqb-tools","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","corosync","xsltproc","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libcfg7","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcfg7","libcorosync-common4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcfg7","libqb100","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcmap4","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcmap4","libcorosync-common4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcmap4","libqb100","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcpg4","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcpg4","libcorosync-common4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcpg4","libqb100","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","libbz2-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","liblz4-1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","liblzma5","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","liblzo2-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libknet1t64","libnspr4","Depends","#333","1","Depends","arrow","{}"
