id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
cron,cron,cron,process scheduling daemon,,,1,1,,,,Section=admin; Version=3.0pl1-197,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libpam0g,libpam0g,libpam0g,Pluggable Authentication Modules library,,,1,1,,,,Section=libs; Version=1.7.0-5,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
sensible-utils,sensible-utils,sensible-utils,Utilities for sensible alternative selection,,,1,1,,,,Section=utils; Version=0.0.25,,,,,,,
libpam-runtime,libpam-runtime,libpam-runtime,Runtime support for the PAM library,,,1,1,,,,Section=admin; Version=1.7.0-5,,,,,,,
default-mta,default-mta,default-mta,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libaudit1,libaudit1,libaudit1,Dynamic library for security auditing,,,1,1,,,,Section=libs; Version=1:4.0.2-2+b2,,,,,,,
debconf,debconf,debconf,Debian configuration management system,,,1,1,,,,Section=admin; Version=1.5.91,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libpam-modules,libpam-modules,libpam-modules,Pluggable Authentication Modules for PAM,,,1,1,,,,Section=admin; Version=1.7.0-5,,,,,,,
,,,,,,,,,,,,libc6,cron,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpam0g,cron,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,cron,Depends,#333,1,Depends,{}
,,,,,,,,,,,,sensible-utils,cron,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpam-runtime,cron,Depends,#333,1,Depends,{}
,,,,,,,,,,,,default-mta,cron,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libaudit1,libpam0g,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpam0g,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,libpam0g,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libselinux1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpcre2-8-0,libselinux1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,libpam-runtime,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,libpam-runtime,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpam-modules,libpam-runtime,Depends,#333,1,Depends,{}
