id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
cryptsetup,cryptsetup,cryptsetup,disk encryption support - startup scripts,,,1,1,,,,Section=admin; Version=2:2.7.5-2,,,,,,,
cryptsetup-bin,cryptsetup-bin,cryptsetup-bin,disk encryption support - command line tools,,,1,1,,,,Section=admin; Version=2:2.7.5-2,,,,,,,
dmsetup,dmsetup,dmsetup,Linux Kernel Device Mapper userspace library,,,1,1,,,,Section=admin; Version=2:1.02.205-2,,,,,,,
debconf,debconf,debconf,Debian configuration management system,,,1,1,,,,Section=admin; Version=1.5.91,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libblkid1,libblkid1,libblkid1,block device ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libcryptsetup12,libcryptsetup12,libcryptsetup12,disk encryption support - shared library,,,1,1,,,,Section=libs; Version=2:2.7.5-2,,,,,,,
libpopt0,libpopt0,libpopt0,lib for parsing cmdline parameters,,,1,1,,,,Section=libs; Version=1.19+dfsg-2,,,,,,,
libuuid1,libuuid1,libuuid1,Universally Unique ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libdevmapper1.02.1,libdevmapper1.02.1,libdevmapper1.02.1,Linux Kernel Device Mapper userspace library,,,1,1,,,,Section=libs; Version=2:1.02.205-2,,,,,,,
apt,apt,apt,commandline package manager,,,1,1,,,,Section=admin; Version=3.0.3,,,,,,,
debconf-i18n,debconf-i18n,debconf-i18n,full internationalization support for debconf,,,1,1,,,,Section=localization; Version=1.5.91,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,cryptsetup-bin,cryptsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,dmsetup,cryptsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,cryptsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,cryptsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libblkid1,cryptsetup-bin,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,cryptsetup-bin,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcryptsetup12,cryptsetup-bin,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpopt0,cryptsetup-bin,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libuuid1,cryptsetup-bin,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,dmsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdevmapper1.02.1,dmsetup,Depends,#333,1,Depends,{}
,,,,,,,,,,,,apt,debconf,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,debconf-i18n,debconf,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
