id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
dbconfig-common,dbconfig-common,dbconfig-common,framework that helps packages to manage databases,,,1,1,,,,Section=admin; Version=2.0.25,,,,,,,
ucf,ucf,ucf,Update Configuration File(s): preserve user changes to config files,,,1,1,,,,Section=utils; Version=3.0052,,,,,,,
debconf,debconf,debconf,Debian configuration management system,,,1,1,,,,Section=admin; Version=1.5.91,,,,,,,
libtext-wrapi18n-perl,libtext-wrapi18n-perl,libtext-wrapi18n-perl,internationalized substitute of Text::Wrap,,,1,1,,,,Section=perl; Version=0.06-10,,,,,,,
procps,procps,procps,/proc file system utilities,,,1,1,,,,Section=admin; Version=2:4.0.4-9,,,,,,,
sensible-utils,sensible-utils,sensible-utils,Utilities for sensible alternative selection,,,1,1,,,,Section=utils; Version=0.0.25,,,,,,,
apt,apt,apt,commandline package manager,,,1,1,,,,Section=admin; Version=3.0.3,,,,,,,
debconf-i18n,debconf-i18n,debconf-i18n,full internationalization support for debconf,,,1,1,,,,Section=localization; Version=1.5.91,,,,,,,
,,,,,,,,,,,,ucf,dbconfig-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,dbconfig-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,ucf,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtext-wrapi18n-perl,ucf,Depends,#333,1,Depends,{}
,,,,,,,,,,,,procps,ucf,Depends,#333,1,Depends,{}
,,,,,,,,,,,,sensible-utils,ucf,Depends,#333,1,Depends,{}
,,,,,,,,,,,,apt,debconf,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,debconf-i18n,debconf,Recommends,#333,1,Recommends,{}
