id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"dbus","dbus","dbus","simple interprocess messaging system (system message bus)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"dbus-bin","dbus-bin","dbus-bin","simple interprocess messaging system (command line utilities)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"dbus-daemon","dbus-daemon","dbus-daemon","simple interprocess messaging system (reference message bus)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"dbus-system-bus-common","dbus-system-bus-common","dbus-system-bus-common","simple interprocess messaging system (system bus configuration)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"base-files","base-files","base-files","Debian base system miscellaneous files","","","1","1","","","","Section=admin; Version=13.8+deb13u1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libdbus-1-3","libdbus-1-3","libdbus-1-3","simple interprocess messaging system (library)","","","1","1","","","","Section=libs; Version=1.16.2-2","","","","","","","",""
"libexpat1","libexpat1","libexpat1","XML parsing C library - runtime library","","","1","1","","","","Section=libs; Version=2.7.1-2","","","","","","","",""
"libsystemd0","libsystemd0","libsystemd0","systemd utility library","","","1","1","","","","Section=libs; Version=257.8-1~deb13u1","","","","","","","",""
"dbus-session-bus-common","dbus-session-bus-common","dbus-session-bus-common","simple interprocess messaging system (session bus configuration)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"libapparmor1","libapparmor1","libapparmor1","changehat AppArmor library","","","1","1","","","","Section=libs; Version=4.1.0-1","","","","","","","",""
"libaudit1","libaudit1","libaudit1","Dynamic library for security auditing","","","1","1","","","","Section=libs; Version=1:4.0.2-2+b2","","","","","","","",""
"libcap-ng0","libcap-ng0","libcap-ng0","alternate POSIX capabilities library","","","1","1","","","","Section=libs; Version=0.8.5-4+b1","","","","","","","",""
"libselinux1","libselinux1","libselinux1","SELinux runtime shared libraries","","","1","1","","","","Section=libs; Version=3.8.1-1","","","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libcap2","libcap2","libcap2","POSIX 1003.1e capabilities (library)","","","1","1","","","","Section=libs; Version=1:2.75-10+b1","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"","","","","","","","","","","","","dbus","dbus-bin","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","dbus-daemon","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","dbus-system-bus-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","base-files","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","libdbus-1-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","libexpat1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus","libsystemd0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-bin","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-bin","libdbus-1-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","dbus-bin","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","dbus-session-bus-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libapparmor1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libaudit1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libcap-ng0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libdbus-1-3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libexpat1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libselinux1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-daemon","libsystemd0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","dbus-system-bus-common","adduser","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libdbus-1-3","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libdbus-1-3","libsystemd0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libdbus-1-3","dbus","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libsystemd0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsystemd0","libcap2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsystemd0","libzstd1","Recommends","#333","1","Recommends","arrow","{}"
