id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
debhelper,debhelper,debhelper,helper programs for debian/rules,,,1,1,,,,Section=devel; Version=13.24.2,,,,,,,
dh-autoreconf,dh-autoreconf,dh-autoreconf,debhelper add-on to call autoreconf and clean up after the build,,,1,1,,,,Section=devel; Version=20,,,,,,,
dh-strip-nondeterminism,dh-strip-nondeterminism,dh-strip-nondeterminism,file non-deterministic information stripper — Debhelper add-on,,,1,1,,,,Section=perl; Version=1.14.1-2,,,,,,,
dpkg-dev,dpkg-dev,dpkg-dev,Debian package development tools,,,1,1,,,,Section=utils; Version=1.22.21,,,,,,,
autotools-dev,autotools-dev,autotools-dev,"Update infrastructure for config.{guess,sub} files",,,1,1,,,,Section=devel; Version=20240727.1,,,,,,,
dpkg,dpkg,dpkg,Debian package management system,,,1,1,,,,Section=admin; Version=1.22.21,,,,,,,
dwz,dwz,dwz,DWARF compression tool,,,1,1,,,,Section=devel; Version=0.15-1+b1,,,,,,,
file,file,file,"Recognize the type of data in a file using ""magic"" numbers",,,1,1,,,,Section=utils; Version=1:5.46-5,,,,,,,
libdebhelper-perl,libdebhelper-perl,libdebhelper-perl,debhelper perl modules,,,1,1,,,,Section=perl; Version=13.24.2,,,,,,,
libdpkg-perl,libdpkg-perl,libdpkg-perl,Dpkg perl modules,,,1,1,,,,Section=perl; Version=1.22.21,,,,,,,
man-db,man-db,man-db,tools for reading manual pages,,,1,1,,,,Section=doc; Version=2.13.1-1,,,,,,,
po-debconf,po-debconf,po-debconf,tool for managing templates file translations with gettext,,,1,1,,,,Section=devel; Version=1.0.21+nmu1,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
autoconf,autoconf,autoconf,automatic configure script builder,,,1,1,,,,Section=devel; Version=2.72-3.1,,,,,,,
automake,automake,automake,Tool for generating GNU Standards-compliant Makefiles,,,1,1,,,,Section=devel; Version=1:1.17-4,,,,,,,
autopoint,autopoint,autopoint,tool for setting up gettext infrastructure in a source package,,,1,1,,,,Section=devel; Version=0.23.1-2,,,,,,,
libtool,libtool,libtool,Generic library support script,,,1,1,,,,Section=devel; Version=2.5.4-4,,,,,,,
libfile-stripnondeterminism-perl,libfile-stripnondeterminism-perl,libfile-stripnondeterminism-perl,file non-deterministic information stripper — Perl module,,,1,1,,,,Section=perl; Version=1.14.1-2,,,,,,,
tar,tar,tar,GNU version of the tar archiving utility,,,1,1,,,,Section=utils; Version=1.35+dfsg-3.1,,,,,,,
bzip2,bzip2,bzip2,high-quality block-sorting file compressor - utilities,,,1,1,,,,Section=utils; Version=1.0.8-6,,,,,,,
xz-utils,xz-utils,xz-utils,XZ-format compression utilities,,,1,1,,,,Section=utils; Version=5.8.1-1,,,,,,,
patch,patch,patch,Apply a diff file to an original,,,1,1,,,,Section=vcs; Version=2.8-2,,,,,,,
make,make,make,utility for directing compilation,,,1,1,,,,Section=devel; Version=4.4.1-2,,,,,,,
binutils,binutils,binutils,"GNU assembler, linker and binary utilities",,,1,1,,,,Section=devel; Version=2.44-3,,,,,,,
build-essential,build-essential,build-essential,Informational list of build-essential packages,,,1,1,,,,Section=devel; Version=12.12,,,,,,,
