id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
multimedia-all,multimedia-all,multimedia-all,Default selection of tasks for Debian Multimedia,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-ambisonics,multimedia-ambisonics,multimedia-ambisonics,Packages for working with ambisonics (3D surround sound),,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-animation,multimedia-animation,multimedia-animation,Packages for creating animations,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-audio-plugins,multimedia-audio-plugins,multimedia-audio-plugins,"Audio processing plugins, synths and virtual instruments",,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-audio-utilities,multimedia-audio-utilities,multimedia-audio-utilities,packages for manipulating & cataloging music and audio,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-broadcasting,multimedia-broadcasting,multimedia-broadcasting,Packages for broadcasting media publicly or in the home,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-csound,multimedia-csound,multimedia-csound,Packages for working with Csound,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-djing,multimedia-djing,multimedia-djing,Packages for Disc Jockeys,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-drums,multimedia-drums,multimedia-drums,Packages for drums & beats,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-firewire,multimedia-firewire,multimedia-firewire,Packages for your firewire audiocard / interface,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-graphics,multimedia-graphics,multimedia-graphics,Packages for making and editing artwork,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-guitar,multimedia-guitar,multimedia-guitar,Packages for playing with your (virtual) guitar gear,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-jack,multimedia-jack,multimedia-jack,JACK (Jack Audio Connection Kit) and ALSA related packages,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-ladi,multimedia-ladi,multimedia-ladi,"LADI, Linuxaudio session management, packages",,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-looping,multimedia-looping,multimedia-looping,Packages for looping music and audio,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-midi,multimedia-midi,multimedia-midi,MIDI related packages,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-mixing,multimedia-mixing,multimedia-mixing,Packages for mixing and mastering your music,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-musiciantools,multimedia-musiciantools,multimedia-musiciantools,Packages for musicians,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-photography,multimedia-photography,multimedia-photography,Packages for working with digital photography,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-players,multimedia-players,multimedia-players,Packages which makes your multimedia tools complete,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-puredata,multimedia-puredata,multimedia-puredata,Packages for working with Pure Data,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-recording,multimedia-recording,multimedia-recording,Packages for audio recording,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-samplers,multimedia-samplers,multimedia-samplers,Software samplers,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-soundsynthesis,multimedia-soundsynthesis,multimedia-soundsynthesis,Packages for sound synthesis,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-supercollider,multimedia-supercollider,multimedia-supercollider,Packages for working with SuperCollider,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-video,multimedia-video,multimedia-video,Video packages,,,1,1,,,,Section=metapackages; Version=0.12,,,,,,,
multimedia-tasks,multimedia-tasks,multimedia-tasks,Debian Multimedia tasks for tasksel,,,1,1,,,,Section=misc; Version=0.12,,,,,,,
aliki,aliki,aliki,Measurement tool for Impulse Responses,,,1,1,,,,Section=sound; Version=0.3.0-6+b1,,,,,,,
amb-plugins,amb-plugins,amb-plugins,ambisonics LADSPA plugins,,,1,1,,,,Section=sound; Version=0.8.1-8,,,,,,,
ambdec,ambdec,ambdec,Ambisonic decoder for first and second order,,,1,1,,,,Section=sound; Version=0.7.1-1+b1,,,,,,,
ardour,ardour,ardour,the digital audio workstation,,,1,1,,,,Section=sound; Version=1:8.12.0+ds-1,,,,,,,
drc,drc,drc,digital room correction,,,1,1,,,,Section=sound; Version=3.2.3~dfsg0-1,,,,,,,
iem-plugin-suite-standalone,iem-plugin-suite-standalone,iem-plugin-suite-standalone,unknown,,,1,1,,,,missing in Packages file,,,,,,,
iem-plugin-suite-vst,iem-plugin-suite-vst,iem-plugin-suite-vst,unknown,,,1,1,,,,missing in Packages file,,,,,,,
jackd,jackd,jackd,JACK Audio Connection Kit (default server package),,,1,1,,,,Section=sound; Version=5+nmu1,,,,,,,
japa,japa,japa,JACK and ALSA Perceptual Analyser,,,1,1,,,,Section=sound; Version=0.9.4-1+b1,,,,,,,
jconvolver,jconvolver,jconvolver,Convolution reverb Engine for JACK,,,1,1,,,,Section=sound; Version=1.1.0-2,,,,,,,
jconvolver-config-files,jconvolver-config-files,jconvolver-config-files,Demo config files for jconvolver,,,1,1,,,,Section=sound; Version=1.1.0-2,,,,,,,
libambix-dev,libambix-dev,libambix-dev,AMBIsonics eXchange library (development files),,,1,1,,,,Section=libdevel; Version=0.1.2-1+b2,,,,,,,
libambix-utils,libambix-utils,libambix-utils,AMBIsonics eXchange library (utilities),,,1,1,,,,Section=sound; Version=0.1.2-1+b2,,,,,,,
pd-ambix,pd-ambix,pd-ambix,AMBIsonics eXchange objects for Pure Data,,,1,1,,,,Section=sound; Version=0.1.2-1+b2,,,,,,,
pd-iemambi,pd-iemambi,pd-iemambi,Pd-objects for Ambisonics sound spatialization,,,1,1,,,,Section=sound; Version=0.21.1-2,,,,,,,
qjackctl,qjackctl,qjackctl,User interface for controlling the JACK sound server,,,1,1,,,,Section=sound; Version=1.0.4-1,,,,,,,
soundscaperenderer,soundscaperenderer,soundscaperenderer,tool for real-time spatial audio reproduction,,,1,1,,,,Section=sound; Version=0.6.1+dfsg-2+b1,,,,,,,
tetraproc,tetraproc,tetraproc,Tetrahedral Microphone Processor for Ambisonic Recording,,,1,1,,,,Section=sound; Version=0.9.2-1+b1,,,,,,,
zita-rev1,zita-rev1,zita-rev1,pro-audio reverb effect,,,1,1,,,,Section=sound; Version=0.2.2-2+b1,,,,,,,
blender,blender,blender,Very fast and versatile 3D modeller/renderer,,,1,1,,,,Section=graphics; Version=4.3.2+dfsg-2,,,,,,,
create-resources,create-resources,create-resources,shared resources for use by creative applications,,,1,1,,,,Section=graphics; Version=0.1.3-6,,,,,,,
gimp,gimp,gimp,GNU Image Manipulation Program,,,1,1,,,,Section=graphics; Version=3.0.4-3,,,,,,,
gimp-gap,gimp-gap,gimp-gap,unknown,,,1,1,,,,missing in Packages file,,,,,,,
mandelbulber2,mandelbulber2,mandelbulber2,3D fractal renderer and animator,,,1,1,,,,Section=math; Version=2.20-2+b3,,,,,,,
qstopmotion,qstopmotion,qstopmotion,Application for creating stop-motion animation movies,,,1,1,,,,Section=video; Version=2.5.2-2,,,,,,,
stopmotion,stopmotion,stopmotion,create stop-motion animations,,,1,1,,,,Section=x11; Version=0.8.7-1,,,,,,,
synfig,synfig,synfig,unknown,,,1,1,,,,missing in Packages file,,,,,,,
synfigstudio,synfigstudio,synfigstudio,unknown,,,1,1,,,,missing in Packages file,,,,,,,
whitedune,whitedune,whitedune,unknown,,,1,1,,,,missing in Packages file,,,,,,,
abgate,abgate,abgate,LV2 noise gate plugin,,,1,1,,,,Section=sound; Version=1.2.0-2+b1,,,,,,,
ams,ams,ams,Realtime modular synthesizer for ALSA,,,1,1,,,,Section=sound; Version=2.2.1-2,,,,,,,
audiofile-tools,audiofile-tools,audiofile-tools,sfinfo and sfconvert tools,,,1,1,,,,Section=utils; Version=0.3.6-7+b1,,,,,,,
autotalent,autotalent,autotalent,pitch correction LADSPA plugin,,,1,1,,,,Section=sound; Version=0.2-6,,,,,,,
blepvco,blepvco,blepvco,"LADSPA, minBLEP-based, hard-sync-capable oscillator plugins",,,1,1,,,,Section=sound; Version=0.1.0-4,,,,,,,
blop,blop,blop,Bandlimited wavetable-based oscillator plugins for LADSPA hosts,,,1,1,,,,Section=sound; Version=0.2.8-10,,,,,,,
calf-plugins,calf-plugins,calf-plugins,Calf Studio Gear - audio effects and sound generators,,,1,1,,,,Section=sound; Version=0.90.3-4+b1,,,,,,,
caps,caps,caps,C* Audio Plugin Suite,,,1,1,,,,Section=sound; Version=0.9.26-1,,,,,,,
csladspa,csladspa,csladspa,LADSPA plugin for Csound,,,1,1,,,,Section=sound; Version=1:6.11.1-1+b1,,,,,,,
csoundqt,csoundqt,csoundqt,frontend for the csound sound processor,,,1,1,,,,Section=sound; Version=1.1.3+dfsg-1,,,,,,,
dpf-plugins,dpf-plugins,dpf-plugins,Audio plugin collection from DISTRHO (metapackage),,,1,1,,,,Section=sound; Version=1.7+ds-3,,,,,,,
dragonfly-reverb,dragonfly-reverb,dragonfly-reverb,Reverb effect plugins - metapackage,,,1,1,,,,Section=sound; Version=3.2.10-3,,,,,,,
drumkv1,drumkv1,drumkv1,old-school drum-kit sampler - standalone,,,1,1,,,,Section=sound; Version=1.3.1-2,,,,,,,
dssi-host-jack,dssi-host-jack,dssi-host-jack,Example of DSSI host,,,1,1,,,,Section=libdevel; Version=1.1.1~dfsg0-7,,,,,,,
dssi-utils,dssi-utils,dssi-utils,Command-line utilities for sending commands to DSSI plugins,,,1,1,,,,Section=libdevel; Version=1.1.1~dfsg0-7,,,,,,,
eq10q,eq10q,eq10q,LV2 plugins bundle,,,1,1,,,,Section=sound; Version=2.2~repack0-5,,,,,,,
ffmsindex,ffmsindex,ffmsindex,Command line tool to create ffms2 index files,,,1,1,,,,Section=video; Version=5.0-1+b1,,,,,,,
fil-plugins,fil-plugins,fil-plugins,parametric equalizer LADSPA plugin,,,1,1,,,,Section=sound; Version=0.3.0-7,,,,,,,
fluidsynth-dssi,fluidsynth-dssi,fluidsynth-dssi,DSSI wrapper for the FluidSynth SoundFont-playing synthesizer,,,1,1,,,,Section=sound; Version=1.0.0-9,,,,,,,
fomp,fomp,fomp,collection of LV2 audio plugins,,,1,1,,,,Section=sound; Version=1.2.4-1,,,,,,,
ghostess,ghostess,ghostess,A graphical DSSI plugin host,,,1,1,,,,Section=sound; Version=20210101-2,,,,,,,
hexter,hexter,hexter,Yamaha DX7 modeling DSSI plugin,,,1,1,,,,Section=sound; Version=1.1.1-2+b1,,,,,,,
invada-studio-plugins-ladspa,invada-studio-plugins-ladspa,invada-studio-plugins-ladspa,Invada Studio Plugins - a set of LADSPA audio plugins,,,1,1,,,,Section=sound; Version=0.3.1-7,,,,,,,
invada-studio-plugins-lv2,invada-studio-plugins-lv2,invada-studio-plugins-lv2,Invada Studio Plugins - a set of LV2 audio plugins,,,1,1,,,,Section=sound; Version=1.2.0+repack0-10,,,,,,,
ir.lv2,ir.lv2,ir.lv2,LV2 IR reverb,,,1,1,,,,Section=sound; Version=1.3.4~dfsg0-3+b1,,,,,,,
jalv,jalv,jalv,tool to run LV2 plugins as stand-alone applications,,,1,1,,,,Section=sound; Version=1.6.8-1+b1,,,,,,,
ladspa-sdk,ladspa-sdk,ladspa-sdk,sample tools for linux-audio-dev plugin architecture,,,1,1,,,,Section=sound; Version=1.17-1+b1,,,,,,,
ladspalist,ladspalist,ladspalist,List LADSPA plugins for use by LADSPA UGen,,,1,1,,,,Section=sound; Version=3.13.0~repack-1+b1,,,,,,,
libasound2-plugin-equal,libasound2-plugin-equal,libasound2-plugin-equal,equalizer plugin for ALSA,,,1,1,,,,Section=libs; Version=0.6-8+b4,,,,,,,
