id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"device-tree-compiler","device-tree-compiler","device-tree-compiler","Device Tree Compiler for Flat Device Trees","","","1","1","","","","Section=devel; Version=1.7.2-2+b1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libfdt1","libfdt1","libfdt1","Flat Device Trees manipulation library","","","1","1","","","","Section=libs; Version=1.7.2-2+b1","","","","","","","",""
"libyaml-0-2","libyaml-0-2","libyaml-0-2","Fast YAML 1.1 parser and emitter library","","","1","1","","","","Section=libs; Version=0.2.5-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"","","","","","","","","","","","","device-tree-compiler","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","device-tree-compiler","libfdt1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","device-tree-compiler","libyaml-0-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libfdt1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libyaml-0-2","libc6","Depends","#333","1","Depends","arrow","{}"
