id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"dpdk","dpdk","dpdk","Data Plane Development Kit (runtime)","","","1","1","","","","Section=admin; Version=24.11.3-1~deb13u1","","","","","","","",""
"pci.ids","pci.ids","pci.ids","PCI ID Repository","","","1","1","","","","Section=admin; Version=0.0~2025.06.09-1","","","","","","","",""
"pciutils","pciutils","pciutils","PCI utilities","","","1","1","","","","Section=admin; Version=1:3.13.0-2","","","","","","","",""
"procps","procps","procps","/proc file system utilities","","","1","1","","","","Section=admin; Version=2:4.0.4-9","","","","","","","",""
"sse4.2-support","sse4.2-support","sse4.2-support","CPU feature checking - require SSE4.2","","","1","1","","","","Section=misc; Version=27","","","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"librte-mempool25","librte-mempool25","librte-mempool25","Data Plane Development Kit (librte-mempool runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-mempool-ring25","librte-mempool-ring25","librte-mempool-ring25","Data Plane Development Kit (librte-mempool-ring runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-af-packet25","librte-net-af-packet25","librte-net-af-packet25","Data Plane Development Kit (librte-net-af-packet runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-bond25","librte-net-bond25","librte-net-bond25","Data Plane Development Kit (librte-net-bond runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-e1000-25","librte-net-e1000-25","librte-net-e1000-25","Data Plane Development Kit (librte-net-e1000 runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-fm10k25","librte-net-fm10k25","librte-net-fm10k25","Data Plane Development Kit (librte-net-fm10k runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-i40e25","librte-net-i40e25","librte-net-i40e25","Data Plane Development Kit (librte-net-i40e runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-ixgbe25","librte-net-ixgbe25","librte-net-ixgbe25","Data Plane Development Kit (librte-net-ixgbe runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-mlx4-25","librte-net-mlx4-25","librte-net-mlx4-25","Data Plane Development Kit (librte-net-mlx4 runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-mlx5-25","librte-net-mlx5-25","librte-net-mlx5-25","Data Plane Development Kit (librte-net-mlx5 runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-netvsc25","librte-net-netvsc25","librte-net-netvsc25","Data Plane Development Kit (librte-net-netvsc runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-pcap25","librte-net-pcap25","librte-net-pcap25","Data Plane Development Kit (librte-net-pcap runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-tap25","librte-net-tap25","librte-net-tap25","Data Plane Development Kit (librte-net-tap runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-thunderx25","librte-net-thunderx25","librte-net-thunderx25","Data Plane Development Kit (librte-net-thunderx runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-vdev-netvsc25","librte-net-vdev-netvsc25","librte-net-vdev-netvsc25","Data Plane Development Kit (librte-net-vdev-netvsc runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-vhost25","librte-net-vhost25","librte-net-vhost25","Data Plane Development Kit (librte-net-vhost runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-virtio25","librte-net-virtio25","librte-net-virtio25","Data Plane Development Kit (librte-net-virtio runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-net-vmxnet3-25","librte-net-vmxnet3-25","librte-net-vmxnet3-25","Data Plane Development Kit (librte-net-vmxnet3 runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"python3-pyelftools","python3-pyelftools","python3-pyelftools","pure-python3 library for parsing ELF and DWARF","","","1","1","","","","Section=python; Version=0.32-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libkmod2","libkmod2","libkmod2","libkmod shared library","","","1","1","","","","Section=libs; Version=34.2-2","","","","","","","",""
"libpci3","libpci3","libpci3","PCI utilities (shared library)","","","1","1","","","","Section=libs; Version=1:3.13.0-2","","","","","","","",""
"libncursesw6","libncursesw6","libncursesw6","shared libraries for terminal handling (wide character support)","","","1","1","","","","Section=libs; Version=6.5+20250216-2","","","","","","","",""
"libproc2-0","libproc2-0","libproc2-0","library for accessing process information from /proc","","","1","1","","","","Section=libs; Version=2:4.0.4-9","","","","","","","",""
"libsystemd0","libsystemd0","libsystemd0","systemd utility library","","","1","1","","","","Section=libs; Version=257.8-1~deb13u1","","","","","","","",""
"libtinfo6","libtinfo6","libtinfo6","shared low-level terminfo library for terminal handling","","","1","1","","","","Section=libs; Version=6.5+20250216-2","","","","","","","",""
"init-system-helpers","init-system-helpers","init-system-helpers","helper tools for all init systems","","","1","1","","","","Section=admin; Version=1.69~deb13u1","","","","","","","",""
"psmisc","psmisc","psmisc","utilities that use the proc file system","","","1","1","","","","Section=admin; Version=23.7-2","","","","","","","",""
"linux-sysctl-defaults","linux-sysctl-defaults","linux-sysctl-defaults","default sysctl configuration for Linux","","","1","1","","","","Section=kernel; Version=4.12","","","","","","","",""
"libbsd0","libbsd0","libbsd0","utility functions from BSD systems - shared library","","","1","1","","","","Section=libs; Version=0.12.2-2","","","","","","","",""
"libfdt1","libfdt1","libfdt1","Flat Device Trees manipulation library","","","1","1","","","","Section=libs; Version=1.7.2-2+b1","","","","","","","",""
"libnuma1","libnuma1","libnuma1","Libraries for controlling NUMA policy","","","1","1","","","","Section=libs; Version=2.0.19-1","","","","","","","",""
"librte-eal25","librte-eal25","librte-eal25","Data Plane Development Kit (librte-eal runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-kvargs25","librte-kvargs25","librte-kvargs25","Data Plane Development Kit (librte-kvargs runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-log25","librte-log25","librte-log25","Data Plane Development Kit (librte-log runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-ring25","librte-ring25","librte-ring25","Data Plane Development Kit (librte-ring runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-telemetry25","librte-telemetry25","librte-telemetry25","Data Plane Development Kit (librte-telemetry runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
"librte-bus-pci25","librte-bus-pci25","librte-bus-pci25","Data Plane Development Kit (librte-bus-pci runtime library)","","","1","1","","","","Section=libs; Version=24.11.3-1~deb13u1","","","","","","","",""
