id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
comerr-dev,comerr-dev,comerr-dev,common error description library - headers and static libraries,,,1,1,,,,Section=libdevel; Version=2.1-1.47.2-3+b3,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libcom-err2,libcom-err2,libcom-err2,common error description library,,,1,1,,,,Section=libs; Version=1.47.2-3+b3,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libc-dev-bin,libc-dev-bin,libc-dev-bin,GNU C Library: Development binaries,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
linux-libc-dev,linux-libc-dev,linux-libc-dev,Linux support headers for userspace development,,,1,1,,,,Section=devel; Version=6.12.43-1,,,,,,,
libcrypt-dev,libcrypt-dev,libcrypt-dev,libcrypt development files,,,1,1,,,,Section=libdevel; Version=1:4.4.38-1,,,,,,,
rpcsvc-proto,rpcsvc-proto,rpcsvc-proto,RPC protocol compiler and definitions,,,1,1,,,,Section=libs; Version=1.4.3-1,,,,,,,
,,,,,,,,,,,,libc6-dev,comerr-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcom-err2,comerr-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libc6-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc-dev-bin,libc6-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,linux-libc-dev,libc6-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcrypt-dev,libc6-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,rpcsvc-proto,libc6-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libcom-err2,Depends,#333,1,Depends,{}
