id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"debuginfod","debuginfod","debuginfod","debuginfo-related http file-server daemon","","","1","1","","","","Section=devel; Version=0.192-4","","","","","","","",""
"libdebuginfod1t64","libdebuginfod1t64","libdebuginfod1t64","library to interact with debuginfod (development files)","","","1","1","","","","Section=libs; Version=0.192-4","","","","","","","",""
"libarchive13t64","libarchive13t64","libarchive13t64","Multi-format archive and compression library (shared library)","","","1","1","","","","Section=libs; Version=3.7.4-4","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libdw1t64","libdw1t64","libdw1t64","library that provides access to the DWARF debug information","","","1","1","","","","Section=libs; Version=0.192-4","","","","","","","",""
"libelf1t64","libelf1t64","libelf1t64","library to read and write ELF files","","","1","1","","","","Section=libs; Version=0.192-4","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libjson-c5","libjson-c5","libjson-c5","JSON manipulation library - shared library","","","1","1","","","","Section=libs; Version=0.18+ds-1","","","","","","","",""
"liblzma5","liblzma5","liblzma5","XZ-format compression library","","","1","1","","","","Section=libs; Version=5.8.1-1","","","","","","","",""
"libmicrohttpd12t64","libmicrohttpd12t64","libmicrohttpd12t64","library embedding HTTP server functionality","","","1","1","","","","Section=libs; Version=1.0.1-4","","","","","","","",""
"libsqlite3-0","libsqlite3-0","libsqlite3-0","SQLite 3 shared library","","","1","1","","","","Section=libs; Version=3.46.1-7","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libarchive-tools","libarchive-tools","libarchive-tools","FreeBSD implementations of 'tar' and 'cpio' and other archive tools","","","1","1","","","","Section=utils; Version=3.7.4-4","","","","","","","",""
"libcurl3t64-gnutls","libcurl3t64-gnutls","libcurl3t64-gnutls","easy-to-use client-side URL transfer library (GnuTLS flavour)","","","1","1","","","","Section=libs; Version=8.14.1-2","","","","","","","",""
"libdebuginfod-common","libdebuginfod-common","libdebuginfod-common","configuration to enable the Debian debug info server","","","1","1","","","","Section=devel; Version=0.192-4","","","","","","","",""
