id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
enchant-2,enchant-2,enchant-2,Wrapper for various spell checker engines (binary programs),,,1,1,,,,Section=text; Version=2.8.2+dfsg1-3,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libenchant-2-2,libenchant-2-2,libenchant-2-2,Wrapper library for various spell checker engines (runtime libs),,,1,1,,,,Section=libs; Version=2.8.2+dfsg1-3,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
hunspell-en-us,hunspell-en-us,hunspell-en-us,English_american dictionary for hunspell,,,1,1,,,,Section=text; Version=1:2020.12.07-4,,,,,,,
libaspell15,libaspell15,libaspell15,GNU Aspell spell-checker runtime library,,,1,1,,,,Section=libs; Version=0.60.8.1-4,,,,,,,
libhunspell-1.7-0,libhunspell-1.7-0,libhunspell-1.7-0,spell checker and morphological analyzer (shared library),,,1,1,,,,Section=libs; Version=1.7.2+really1.7.2-10+b4,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libatomic1,libatomic1,libatomic1,support library providing __atomic built-in functions,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libffi8,libffi8,libffi8,Foreign Function Interface library runtime,,,1,1,,,,Section=libs; Version=3.4.8-2,,,,,,,
libmount1,libmount1,libmount1,device mounting library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
libglib2.0-data,libglib2.0-data,libglib2.0-data,Common files for GLib library,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
shared-mime-info,shared-mime-info,shared-mime-info,FreeDesktop.org shared MIME database and spec,,,1,1,,,,Section=misc; Version=2.4-5+b2,,,,,,,
xdg-user-dirs,xdg-user-dirs,xdg-user-dirs,tool to manage well known user directories,,,1,1,,,,Section=utils; Version=0.18-2,,,,,,,
,,,,,,,,,,,,libc6,enchant-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libenchant-2-2,enchant-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,enchant-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,hunspell-en-us,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libaspell15,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libhunspell-1.7-0,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libenchant-2-2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,enchant-2,libenchant-2-2,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libatomic1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libffi8,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmount1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpcre2-8-0,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-data,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,shared-mime-info,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,xdg-user-dirs,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
