id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"erlang","erlang","erlang","Concurrent, real-time, distributed functional language","","","1","1","","","","Section=interpreters; Version=1:27.3.4.1+dfsg-1","","","","","","","",""
"erlang-base:any","erlang-base:any","erlang-base:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-dev:any","erlang-dev:any","erlang-dev:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-asn1:any","erlang-asn1:any","erlang-asn1:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-common-test:any","erlang-common-test:any","erlang-common-test:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-crypto:any","erlang-crypto:any","erlang-crypto:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-debugger:any","erlang-debugger:any","erlang-debugger:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-dialyzer:any","erlang-dialyzer:any","erlang-dialyzer:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-diameter:any","erlang-diameter:any","erlang-diameter:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-edoc:any","erlang-edoc:any","erlang-edoc:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-eldap:any","erlang-eldap:any","erlang-eldap:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-et:any","erlang-et:any","erlang-et:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-eunit:any","erlang-eunit:any","erlang-eunit:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-ftp:any","erlang-ftp:any","erlang-ftp:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"erlang-inets:any","erlang-inets:any","erlang-inets:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
