id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
evolution-data-server,evolution-data-server,evolution-data-server,evolution database backend server,,,1,1,,,,Section=gnome; Version=3.56.1-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcamel-1.2-64t64,libcamel-1.2-64t64,libcamel-1.2-64t64,Evolution MIME message handling library,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libcanberra-gtk3-0,libcanberra-gtk3-0,libcanberra-gtk3-0,GTK+ 3.0 helper for playing widget event sounds with libcanberra,,,1,1,,,,Section=libs; Version=0.30-18,,,,,,,
libcanberra0,libcanberra0,libcanberra0,simple abstract interface for playing event sounds,,,1,1,,,,Section=libs; Version=0.30-18,,,,,,,
libdb5.3t64,libdb5.3t64,libdb5.3t64,Berkeley v5.3 Database Libraries [runtime],,,1,1,,,,Section=libs; Version=5.3.28+dfsg2-9,,,,,,,
libebackend-1.2-11t64,libebackend-1.2-11t64,libebackend-1.2-11t64,Utility library for evolution data servers,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libebook-1.2-21t64,libebook-1.2-21t64,libebook-1.2-21t64,Client library for evolution address books,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libebook-contacts-1.2-4t64,libebook-contacts-1.2-4t64,libebook-contacts-1.2-4t64,Client library for evolution contacts books,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libecal-2.0-3,libecal-2.0-3,libecal-2.0-3,Client library for evolution calendars,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libedata-book-1.2-27t64,libedata-book-1.2-27t64,libedata-book-1.2-27t64,Backend library for evolution address books,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libedata-cal-2.0-2t64,libedata-cal-2.0-2t64,libedata-cal-2.0-2t64,Backend library for evolution calendars,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libedataserver-1.2-27t64,libedataserver-1.2-27t64,libedataserver-1.2-27t64,Utility library for evolution data servers,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libedataserverui-1.2-4t64,libedataserverui-1.2-4t64,libedataserverui-1.2-4t64,Utility library for evolution data servers,,,1,1,,,,Section=libs; Version=3.56.1-2,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libgoa-1.0-0b,libgoa-1.0-0b,libgoa-1.0-0b,library for GNOME Online Accounts,,,1,1,,,,Section=libs; Version=3.54.5-1~deb13u1,,,,,,,
libgtk-3-0t64,libgtk-3-0t64,libgtk-3-0t64,GTK graphical user interface library,,,1,1,,,,Section=libs; Version=3.24.49-3,,,,,,,
libgweather-4-0t64,libgweather-4-0t64,libgweather-4-0t64,GWeather shared library,,,1,1,,,,Section=libs; Version=4.4.4-1,,,,,,,
libical3t64,libical3t64,libical3t64,iCalendar library implementation in C (runtime),,,1,1,,,,Section=libs; Version=3.0.20-1+b1,,,,,,,
libjson-glib-1.0-0,libjson-glib-1.0-0,libjson-glib-1.0-0,GLib JSON manipulation library,,,1,1,,,,Section=libs; Version=1.10.6+ds-2,,,,,,,
libldap2,libldap2,libldap2,OpenLDAP libraries,,,1,1,,,,Section=libs; Version=2.6.10+dfsg-1,,,,,,,
libpango-1.0-0,libpango-1.0-0,libpango-1.0-0,Layout and rendering of internationalized text,,,1,1,,,,Section=libs; Version=1.56.3-1,,,,,,,
libsecret-1-0,libsecret-1-0,libsecret-1-0,Secret store,,,1,1,,,,Section=libs; Version=0.21.7-1,,,,,,,
libsoup-3.0-0,libsoup-3.0-0,libsoup-3.0-0,HTTP library implementation in C -- Shared library,,,1,1,,,,Section=libs; Version=3.6.5-3,,,,,,,
libxml2,libxml2,libxml2,GNOME XML library,,,1,1,,,,Section=libs; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1,,,,,,,
evolution-data-server-common,evolution-data-server-common,evolution-data-server-common,architecture independent files for Evolution Data Server,,,1,1,,,,Section=gnome; Version=3.56.1-2,,,,,,,
gnome-keyring,gnome-keyring,gnome-keyring,GNOME keyring services (daemon and tools),,,1,1,,,,Section=gnome; Version=48.0-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libgssapi-krb5-2,libgssapi-krb5-2,libgssapi-krb5-2,MIT Kerberos runtime libraries - krb5 GSS-API Mechanism,,,1,1,,,,Section=libs; Version=1.21.3-5,,,,,,,
libicu76,libicu76,libicu76,International Components for Unicode,,,1,1,,,,Section=libs; Version=76.1-4,,,,,,,
libnspr4,libnspr4,libnspr4,NetScape Portable Runtime Library,,,1,1,,,,Section=libs; Version=2:4.36-1,,,,,,,
libnss3,libnss3,libnss3,Network Security Service libraries,,,1,1,,,,Section=libs; Version=2:3.110-1,,,,,,,
libsqlite3-0,libsqlite3-0,libsqlite3-0,SQLite 3 shared library,,,1,1,,,,Section=libs; Version=3.46.1-7,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libcanberra-gtk3-module,libcanberra-gtk3-module,libcanberra-gtk3-module,translates GTK3 widgets signals to event sounds,,,1,1,,,,Section=libs; Version=0.30-18,,,,,,,
libasound2t64,libasound2t64,libasound2t64,shared library for ALSA applications,,,1,1,,,,Section=libs; Version=1.2.14-1,,,,,,,
libltdl7,libltdl7,libltdl7,System independent dlopen wrapper for GNU libtool,,,1,1,,,,Section=libs; Version=2.5.4-4,,,,,,,
libtdb1,libtdb1,libtdb1,Trivial Database - shared library,,,1,1,,,,Section=libs; Version=2:1.4.13+samba4.22.4+dfsg-1~deb13u1,,,,,,,
libvorbisfile3,libvorbisfile3,libvorbisfile3,high-level API for Vorbis General Audio Compression Codec,,,1,1,,,,Section=libs; Version=1.3.7-3,,,,,,,
