id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
fcitx,fcitx,fcitx,Flexible Input Method Framework,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2,,,,,,,
fcitx-bin,fcitx-bin,fcitx-bin,Flexible Input Method Framework - essential binaries,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2+b1,,,,,,,
fcitx-data,fcitx-data,fcitx-data,Flexible Input Method Framework - essential data files,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2,,,,,,,
fcitx-modules,fcitx-modules,fcitx-modules,Flexible Input Method Framework - core modules,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2+b1,,,,,,,
fcitx-config-gtk,fcitx-config-gtk,fcitx-config-gtk,graphic Fcitx configuration tool,,,1,1,,,,Section=utils; Version=0.4.10-3+b1,,,,,,,
fcitx-frontend-all,fcitx-frontend-all,fcitx-frontend-all,Flexible Input Method Framework - frontends metapackage,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2,,,,,,,
fcitx-ui-classic,fcitx-ui-classic,fcitx-ui-classic,Flexible Input Method Framework - Classic user interface,,,1,1,,,,Section=utils; Version=1:4.2.9.9-2+b1,,,,,,,
im-config,im-config,im-config,Input method configuration framework,,,1,1,,,,Section=x11; Version=0.57-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libdbus-1-3,libdbus-1-3,libdbus-1-3,simple interprocess messaging system (library),,,1,1,,,,Section=libs; Version=1.16.2-2,,,,,,,
libfcitx-config4,libfcitx-config4,libfcitx-config4,Flexible Input Method Framework - configuration support library,,,1,1,,,,Section=libs; Version=1:4.2.9.9-2+b1,,,,,,,
libfcitx-core0,libfcitx-core0,libfcitx-core0,Flexible Input Method Framework - library of core functions,,,1,1,,,,Section=libs; Version=1:4.2.9.9-2+b1,,,,,,,
libfcitx-utils0,libfcitx-utils0,libfcitx-utils0,Flexible Input Method Framework - utility support library,,,1,1,,,,Section=libs; Version=1:4.2.9.9-2+b1,,,,,,,
libgettextpo0,libgettextpo0,libgettextpo0,process PO files - shared library,,,1,1,,,,Section=libs; Version=0.23.1-2,,,,,,,
libjson-c5,libjson-c5,libjson-c5,JSON manipulation library - shared library,,,1,1,,,,Section=libs; Version=0.18+ds-1,,,,,,,
