id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
firebird-dev,firebird-dev,firebird-dev,Development files for Firebird,,,1,1,,,,Section=libdevel; Version=4.0.5.3140.ds6-17+deb13u1,,,,,,,
firebird4.0-common-doc,firebird4.0-common-doc,firebird4.0-common-doc,"copyright, licensing and changelogs of firebird4.0",,,1,1,,,,Section=doc; Version=4.0.5.3140.ds6-17+deb13u1,,,,,,,
libfbclient2,libfbclient2,libfbclient2,Firebird client library,,,1,1,,,,Section=libs; Version=4.0.5.3140.ds6-17+deb13u1,,,,,,,
libib-util,libib-util,libib-util,Firebird UDF support library,,,1,1,,,,Section=libs; Version=4.0.5.3140.ds6-17+deb13u1,,,,,,,
firebird4.0-common,firebird4.0-common,firebird4.0-common,"common files for firebird 4.0 server, client and utilities",,,1,1,,,,Section=database; Version=4.0.5.3140.ds6-17+deb13u1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libtommath1,libtommath1,libtommath1,multiple-precision integer library [runtime],,,1,1,,,,Section=libs; Version=1.3.0-1,,,,,,,
,,,,,,,,,,,,firebird4.0-common-doc,firebird-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfbclient2,firebird-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libib-util,firebird-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,firebird4.0-common,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,firebird4.0-common-doc,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtommath1,libfbclient2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,firebird4.0-common-doc,libib-util,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libib-util,Depends,#333,1,Depends,{}
