id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
freerdp3-dev,freerdp3-dev,freerdp3-dev,Free Remote Desktop Protocol library (development files),,,1,1,,,,Section=devel; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp-server-proxy3-3,libfreerdp-server-proxy3-3,libfreerdp-server-proxy3-3,Free Remote Desktop Protocol library (proxy library),,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp-client3-3,libfreerdp-client3-3,libfreerdp-client3-3,Free Remote Desktop Protocol library (client library),,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp-server3-3,libfreerdp-server3-3,libfreerdp-server3-3,Free Remote Desktop Protocol library (server library),,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp-shadow-subsystem3-3,libfreerdp-shadow-subsystem3-3,libfreerdp-shadow-subsystem3-3,FreeRDP Remote Desktop Protocol shadow subsystem libraries,,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp-shadow3-3,libfreerdp-shadow3-3,libfreerdp-shadow3-3,FreeRDP Remote Desktop Protocol shadow libraries,,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libfreerdp3-3,libfreerdp3-3,libfreerdp3-3,Free Remote Desktop Protocol library (core library),,,1,1,,,,Section=libs; Version=3.15.0+dfsg-2.1,,,,,,,
libwinpr3-dev,libwinpr3-dev,libwinpr3-dev,Windows Portable Runtime library (development files),,,1,1,,,,Section=libdevel; Version=3.15.0+dfsg-2.1,,,,,,,
libfuse3-dev,libfuse3-dev,libfuse3-dev,Filesystem in Userspace (development) (3.x version),,,1,1,,,,Section=libdevel; Version=3.17.2-3,,,,,,,
winpr3-utils,winpr3-utils,winpr3-utils,Windows Portable Runtime library command line utilities,,,1,1,,,,Section=utils; Version=3.15.0+dfsg-2.1,,,,,,,
