id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
freetype2-demos,freetype2-demos,freetype2-demos,FreeType 2 demonstration programs,,,1,1,,,,Section=utils; Version=2.13.3+dfsg-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
libpng16-16t64,libpng16-16t64,libpng16-16t64,PNG library - runtime (version 1.6),,,1,1,,,,Section=libs; Version=1.6.48-1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libbrotli1,libbrotli1,libbrotli1,library implementing brotli encoder and decoder (shared libraries),,,1,1,,,,Section=libs; Version=1.1.0-2+b7,,,,,,,
libbz2-1.0,libbz2-1.0,libbz2-1.0,high-quality block-sorting file compressor library - runtime,,,1,1,,,,Section=libs; Version=1.0.8-6,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libxcb1,libxcb1,libxcb1,X C Binding,,,1,1,,,,Section=libs; Version=1.17.0-2+b1,,,,,,,
libx11-data,libx11-data,libx11-data,X11 client-side library,,,1,1,,,,Section=x11; Version=2:1.8.12-1,,,,,,,
,,,,,,,,,,,,libc6,freetype2-demos,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6,freetype2-demos,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpng16-16t64,freetype2-demos,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,freetype2-demos,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libbrotli1,libfreetype6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libbz2-1.0,libfreetype6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libfreetype6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpng16-16t64,libfreetype6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libfreetype6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpng16-16t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libpng16-16t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libx11-6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxcb1,libx11-6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-data,libx11-6,Depends,#333,1,Depends,{}
