id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
fuse,fuse,fuse,Filesystem in Userspace (transitional package),,,1,1,,,,Section=utils; Version=3.17.2-3,,,,,,,
fuse3,fuse3,fuse3,Filesystem in Userspace (3.x version),,,1,1,,,,Section=utils; Version=3.17.2-3,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfuse3-4,libfuse3-4,libfuse3-4,Filesystem in Userspace (library) (3.x version),,,1,1,,,,Section=libs; Version=3.17.2-3,,,,,,,
adduser,adduser,adduser,add and remove users and groups,,,1,1,,,,Section=admin; Version=3.152,,,,,,,
mount,mount,mount,tools for mounting and manipulating filesystems,,,1,1,,,,Section=admin; Version=2.41-5,,,,,,,
sed,sed,sed,GNU stream editor for filtering/transforming text,,,1,1,,,,Section=utils; Version=4.9-2,,,,,,,
,,,,,,,,,,,,fuse3,fuse,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,fuse3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfuse3-4,fuse3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,adduser,fuse3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,mount,fuse3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,sed,fuse3,Depends,#333,1,Depends,{}
