id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"cpp","cpp","cpp","GNU C preprocessor (cpp)","","","1","1","","","","Section=interpreters; Version=4:14.2.0-1","","","","","",""
"cpp-14","cpp-14","cpp-14","GNU C preprocessor","","","1","1","","","","Section=interpreters; Version=14.2.0-19","","","","","",""
"cpp-x86-64-linux-gnu","cpp-x86-64-linux-gnu","cpp-x86-64-linux-gnu","GNU C preprocessor (cpp) for the amd64 architecture","","","1","1","","","","Section=devel; Version=4:14.2.0-1","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"cpp-14-x86-64-linux-gnu","cpp-14-x86-64-linux-gnu","cpp-14-x86-64-linux-gnu","GNU C preprocessor for x86_64-linux-gnu","","","1","1","","","","Section=interpreters; Version=14.2.0-19","","","","","",""
"","","","","","","","","","","","","cpp","cpp-14","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","cpp","cpp-x86-64-linux-gnu","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","cpp-14","gcc-14-base","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","cpp-14","cpp-14-x86-64-linux-gnu","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","cpp-x86-64-linux-gnu","cpp-14-x86-64-linux-gnu","Depends","#333","1","Depends","{}"
