id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gdal-bin,gdal-bin,gdal-bin,Geospatial Data Abstraction Library - Utility programs,,,1,1,,,,Section=science; Version=3.10.3+dfsg-1,,,,,,,
python3-gdal,python3-gdal,python3-gdal,Python 3 bindings to the Geospatial Data Abstraction Library,,,1,1,,,,Section=python; Version=3.10.3+dfsg-1,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgdal36,libgdal36,libgdal36,Geospatial Data Abstraction Library,,,1,1,,,,Section=libs; Version=3.10.3+dfsg-1,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
python3,python3,python3,interactive high-level object-oriented language (default python3 version),,,1,1,,,,Section=python; Version=3.13.5-1,,,,,,,
python3-numpy2-abi0,python3-numpy2-abi0,python3-numpy2-abi0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
gdal-data,gdal-data,gdal-data,Geospatial Data Abstraction Library - Data files,,,1,1,,,,Section=science; Version=3.10.3+dfsg-1,,,,,,,
gdal-plugins,gdal-plugins,gdal-plugins,Geospatial Data Abstraction Library - Plugins,,,1,1,,,,Section=science; Version=3.10.3+dfsg-1,,,,,,,
libaec0,libaec0,libaec0,Adaptive Entropy Coding library,,,1,1,,,,Section=libs; Version=1.1.3-1+b1,,,,,,,
libarmadillo14,libarmadillo14,libarmadillo14,streamlined C++ linear algebra library,,,1,1,,,,Section=libs; Version=1:14.2.3+dfsg-1+b1,,,,,,,
libavif16,libavif16,libavif16,Library for handling .avif files,,,1,1,,,,Section=libs; Version=1.2.1-1.2,,,,,,,
libblosc1,libblosc1,libblosc1,high performance meta-compressor optimized for binary data,,,1,1,,,,Section=libs; Version=1.21.5+ds-1+b2,,,,,,,
libcfitsio10t64,libcfitsio10t64,libcfitsio10t64,shared library for I/O with FITS format data files,,,1,1,,,,Section=libs; Version=4.6.2-2,,,,,,,
libcurl3t64-gnutls,libcurl3t64-gnutls,libcurl3t64-gnutls,easy-to-use client-side URL transfer library (GnuTLS flavour),,,1,1,,,,Section=libs; Version=8.14.1-2,,,,,,,
libdeflate0,libdeflate0,libdeflate0,"fast, whole-buffer DEFLATE-based compression and decompression",,,1,1,,,,Section=libs; Version=1.23-2,,,,,,,
libexpat1,libexpat1,libexpat1,XML parsing C library - runtime library,,,1,1,,,,Section=libs; Version=2.7.1-2,,,,,,,
libfreexl1,libfreexl1,libfreexl1,library for direct reading of Microsoft Excel spreadsheets,,,1,1,,,,Section=libs; Version=2.0.0-1+b3,,,,,,,
libfyba0t64,libfyba0t64,libfyba0t64,FYBA library to read and write Norwegian geodata standard format SOSI,,,1,1,,,,Section=libs; Version=4.1.1-11+b1,,,,,,,
libgeos-c1t64,libgeos-c1t64,libgeos-c1t64,Geometry engine for Geographic Information Systems - C Library,,,1,1,,,,Section=libs; Version=3.13.1-1,,,,,,,
libgeotiff5,libgeotiff5,libgeotiff5,GeoTIFF (geografic enabled TIFF) library -- run-time files,,,1,1,,,,Section=libs; Version=1.7.4-1,,,,,,,
libgif7,libgif7,libgif7,library for GIF images (library),,,1,1,,,,Section=libs; Version=5.2.2-1+b1,,,,,,,
