id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"geany-plugin-addons","geany-plugin-addons","geany-plugin-addons","miscellaneous plugins for Geany","","","1","1","","","","Section=devel; Version=2.0-6+b1","","","","","","","",""
"geany-abi-18688","geany-abi-18688","geany-abi-18688","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"geany-plugins-common","geany-plugins-common","geany-plugins-common","set of plugins for Geany (translations)","","","1","1","","","","Section=devel; Version=2.0-6+b1","","","","","","","",""
"geany","geany","geany","fast and lightweight IDE","","","1","1","","","","Section=devel; Version=2.0-2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libgtk-3-0t64","libgtk-3-0t64","libgtk-3-0t64","GTK graphical user interface library","","","1","1","","","","Section=libs; Version=3.24.49-3","","","","","","","",""
"libpango-1.0-0","libpango-1.0-0","libpango-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libvte-2.91-0","libvte-2.91-0","libvte-2.91-0","Terminal emulator widget for GTK 3 - runtime files","","","1","1","","","","Section=libs; Version=0.80.1-1","","","","","","","",""
"libatk1.0-0t64","libatk1.0-0t64","libatk1.0-0t64","ATK accessibility toolkit","","","1","1","","","","Section=libs; Version=2.56.2-1","","","","","","","",""
"libcairo2","libcairo2","libcairo2","Cairo 2D vector graphics library","","","1","1","","","","Section=libs; Version=1.18.4-1+b1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","GDK Pixbuf library","","","1","1","","","","Section=libs; Version=2.42.12+dfsg-4","","","","","","","",""
"libpangocairo-1.0-0","libpangocairo-1.0-0","libpangocairo-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"geany-common","geany-common","geany-common","fast and lightweight IDE -- common files","","","1","1","","","","Section=devel; Version=2.0-2","","","","","","","",""
