id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libglobus-gssapi-gsi-dev","libglobus-gssapi-gsi-dev","libglobus-gssapi-gsi-dev","Grid Community Toolkit - GSSAPI library Development Files","","","1","1","","","","Section=libdevel; Version=14.20-3+b1","","","","","","","",""
"libglobus-gssapi-gsi4t64","libglobus-gssapi-gsi4t64","libglobus-gssapi-gsi4t64","Grid Community Toolkit - GSSAPI library","","","1","1","","","","Section=libs; Version=14.20-3+b1","","","","","","","",""
"libglobus-common-dev","libglobus-common-dev","libglobus-common-dev","Grid Community Toolkit - Common Library Development Files","","","1","1","","","","Section=libdevel; Version=18.14-3","","","","","","","",""
"libglobus-openssl-module-dev","libglobus-openssl-module-dev","libglobus-openssl-module-dev","Grid Community Toolkit - Globus OpenSSL Module Wrapper Development Files","","","1","1","","","","Section=libdevel; Version=5.2-3+b1","","","","","","","",""
"libglobus-gsi-openssl-error-dev","libglobus-gsi-openssl-error-dev","libglobus-gsi-openssl-error-dev","Grid Community Toolkit - Globus OpenSSL Error Handling Development Files","","","1","1","","","","Section=libdevel; Version=4.4-3+b1","","","","","","","",""
"libglobus-gsi-cert-utils-dev","libglobus-gsi-cert-utils-dev","libglobus-gsi-cert-utils-dev","Grid Community Toolkit - Globus GSI Cert Utils Library Development Files","","","1","1","","","","Section=libdevel; Version=10.11-2+b1","","","","","","","",""
"libglobus-gsi-credential-dev","libglobus-gsi-credential-dev","libglobus-gsi-credential-dev","Grid Community Toolkit - Globus GSI Credential Library Development Files","","","1","1","","","","Section=libdevel; Version=8.4-3","","","","","","","",""
"libglobus-gsi-callback-dev","libglobus-gsi-callback-dev","libglobus-gsi-callback-dev","Grid Community Toolkit - Globus GSI Callback Library Development Files","","","1","1","","","","Section=libdevel; Version=6.2-3+b1","","","","","","","",""
"libglobus-gsi-proxy-core-dev","libglobus-gsi-proxy-core-dev","libglobus-gsi-proxy-core-dev","Grid Community Toolkit - Globus GSI Proxy Core Library Development Files","","","1","1","","","","Section=libdevel; Version=9.8-3+b1","","","","","","","",""
"libglobus-gsi-sysconfig-dev","libglobus-gsi-sysconfig-dev","libglobus-gsi-sysconfig-dev","Grid Community Toolkit - Globus GSI System Config Library Development Files","","","1","1","","","","Section=libdevel; Version=9.6-2+b1","","","","","","","",""
"libssl-dev","libssl-dev","libssl-dev","Secure Sockets Layer toolkit - development files","","","1","1","","","","Section=libdevel; Version=3.5.1-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libglobus-common0t64","libglobus-common0t64","libglobus-common0t64","Grid Community Toolkit - Common Library","","","1","1","","","","Section=libs; Version=18.14-3","","","","","","","",""
"libglobus-gsi-callback0t64","libglobus-gsi-callback0t64","libglobus-gsi-callback0t64","Grid Community Toolkit - Globus GSI Callback Library","","","1","1","","","","Section=libs; Version=6.2-3+b1","","","","","","","",""
"libglobus-gsi-cert-utils0t64","libglobus-gsi-cert-utils0t64","libglobus-gsi-cert-utils0t64","Grid Community Toolkit - Globus GSI Cert Utils Library","","","1","1","","","","Section=libs; Version=10.11-2+b1","","","","","","","",""
"libglobus-gsi-credential1t64","libglobus-gsi-credential1t64","libglobus-gsi-credential1t64","Grid Community Toolkit - Globus GSI Credential Library","","","1","1","","","","Section=libs; Version=8.4-3","","","","","","","",""
"libglobus-gsi-openssl-error0t64","libglobus-gsi-openssl-error0t64","libglobus-gsi-openssl-error0t64","Grid Community Toolkit - Globus OpenSSL Error Handling","","","1","1","","","","Section=libs; Version=4.4-3+b1","","","","","","","",""
"libglobus-gsi-proxy-core0t64","libglobus-gsi-proxy-core0t64","libglobus-gsi-proxy-core0t64","Grid Community Toolkit - Globus GSI Proxy Core Library","","","1","1","","","","Section=libs; Version=9.8-3+b1","","","","","","","",""
"libglobus-gsi-sysconfig1t64","libglobus-gsi-sysconfig1t64","libglobus-gsi-sysconfig1t64","Grid Community Toolkit - Globus GSI System Config Library","","","1","1","","","","Section=libs; Version=9.6-2+b1","","","","","","","",""
"libglobus-openssl-module0t64","libglobus-openssl-module0t64","libglobus-openssl-module0t64","Grid Community Toolkit - Globus OpenSSL Module Wrapper","","","1","1","","","","Section=libs; Version=5.2-3+b1","","","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","","","",""
"perl:any","perl:any","perl:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libltdl-dev","libltdl-dev","libltdl-dev","System independent dlopen wrapper for GNU libtool (headers)","","","1","1","","","","Section=libdevel; Version=2.5.4-4","","","","","","","",""
"libglobus-gsi-proxy-ssl-dev","libglobus-gsi-proxy-ssl-dev","libglobus-gsi-proxy-ssl-dev","Grid Community Toolkit - Globus GSI Proxy SSL Library Development Files","","","1","1","","","","Section=libdevel; Version=6.5-4","","","","","","","",""
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gssapi-gsi4t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-common-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-openssl-module-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-openssl-error-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-cert-utils-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-credential-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-callback-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-proxy-core-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libglobus-gsi-sysconfig-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi-dev","libssl-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libglobus-common0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libglobus-gsi-callback0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libglobus-gsi-cert-utils0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libglobus-gsi-credential1t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libglobus-gssapi-gsi4t64","libglobus-gsi-openssl-error0t64","Depends","#333","1","Depends","arrow","{}"
