id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gnome-shell","gnome-shell","gnome-shell","graphical shell for the GNOME desktop","","","1","1","","","","Section=gnome; Version=48.4-1~deb13u1","","","","","","","",""
"gir1.2-accountsservice-1.0","gir1.2-accountsservice-1.0","gir1.2-accountsservice-1.0","GObject introspection data for AccountService","","","1","1","","","","Section=introspection; Version=23.13.9-7","","","","","","","",""
"gir1.2-adw-1","gir1.2-adw-1","gir1.2-adw-1","GObject introspection files for libadwaita","","","1","1","","","","Section=introspection; Version=1.7.6-1~deb13u1","","","","","","","",""
"gir1.2-atk-1.0","gir1.2-atk-1.0","gir1.2-atk-1.0","ATK accessibility toolkit (GObject introspection)","","","1","1","","","","Section=introspection; Version=2.56.2-1","","","","","","","",""
"gir1.2-atspi-2.0","gir1.2-atspi-2.0","gir1.2-atspi-2.0","Assistive Technology Service Provider (GObject introspection)","","","1","1","","","","Section=introspection; Version=2.56.2-1","","","","","","","",""
"gir1.2-gcr-4","gir1.2-gcr-4","gir1.2-gcr-4","GObject introspection data for the GCR library","","","1","1","","","","Section=introspection; Version=4.4.0.1-3","","","","","","","",""
"gir1.2-gdesktopenums-3.0","gir1.2-gdesktopenums-3.0","gir1.2-gdesktopenums-3.0","GObject introspection for GSettings desktop-wide schemas","","","1","1","","","","Section=introspection; Version=48.0-1","","","","","","","",""
"gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","GDK Pixbuf library - GObject-Introspection","","","1","1","","","","Section=introspection; Version=2.42.12+dfsg-4","","","","","","","",""
"gir1.2-gdm-1.0","gir1.2-gdm-1.0","gir1.2-gdm-1.0","GObject introspection data for the GNOME Display Manager","","","1","1","","","","Section=introspection; Version=48.0-2","","","","","","","",""
"gir1.2-geoclue-2.0","gir1.2-geoclue-2.0","gir1.2-geoclue-2.0","convenience library to interact with geoinformation service (introspection)","","","1","1","","","","Section=introspection; Version=2.7.2-2","","","","","","","",""
"gir1.2-glib-2.0","gir1.2-glib-2.0","gir1.2-glib-2.0","Introspection data for GLib, GObject, Gio and GModule","","","1","1","","","","Section=introspection; Version=2.84.4-3~deb13u1","","","","","","","",""
"gir1.2-gnomebg-4.0","gir1.2-gnomebg-4.0","gir1.2-gnomebg-4.0","Introspection data for GnomeBG (GTK 4)","","","1","1","","","","Section=introspection; Version=44.3-3","","","","","","","",""
"gir1.2-gnomebluetooth-3.0","gir1.2-gnomebluetooth-3.0","gir1.2-gnomebluetooth-3.0","Introspection data for GnomeBluetooth","","","1","1","","","","Section=introspection; Version=47.1-1","","","","","","","",""
"gir1.2-gnomedesktop-4.0","gir1.2-gnomedesktop-4.0","gir1.2-gnomedesktop-4.0","Introspection data for GnomeDesktop (GTK 4)","","","1","1","","","","Section=introspection; Version=44.3-3","","","","","","","",""
"gir1.2-graphene-1.0","gir1.2-graphene-1.0","gir1.2-graphene-1.0","library of graphic data types (introspection files)","","","1","1","","","","Section=introspection; Version=1.10.8-5","","","","","","","",""
"gir1.2-gstreamer-1.0","gir1.2-gstreamer-1.0","gir1.2-gstreamer-1.0","GObject introspection data for the GStreamer library","","","1","1","","","","Section=introspection; Version=1.26.2-2","","","","","","","",""
"gir1.2-gtk-4.0","gir1.2-gtk-4.0","gir1.2-gtk-4.0","GTK graphical user interface library -- gir bindings","","","1","1","","","","Section=introspection; Version=4.18.6+ds-2","","","","","","","",""
"gir1.2-gweather-4.0","gir1.2-gweather-4.0","gir1.2-gweather-4.0","GObject introspection data for the GWeather library","","","1","1","","","","Section=introspection; Version=4.4.4-1","","","","","","","",""
"gir1.2-freedesktop","gir1.2-freedesktop","gir1.2-freedesktop","Introspection data for some FreeDesktop components","","","1","1","","","","Section=introspection; Version=1.84.0-1","","","","","","","",""
"gir1.2-ibus-1.0","gir1.2-ibus-1.0","gir1.2-ibus-1.0","Intelligent Input Bus - introspection data","","","1","1","","","","Section=introspection; Version=1.5.32-2","","","","","","","",""
"gir1.2-mutter-16","gir1.2-mutter-16","gir1.2-mutter-16","GObject introspection data for Mutter","","","1","1","","","","Section=introspection; Version=48.4-2","","","","","","","",""
"gir1.2-nm-1.0","gir1.2-nm-1.0","gir1.2-nm-1.0","GObject introspection data for the libnm library","","","1","1","","","","Section=introspection; Version=1.52.1-1","","","","","","","",""
"gir1.2-nma4-1.0","gir1.2-nma4-1.0","gir1.2-nma4-1.0","GObject introspection data for libnma-gtk4","","","1","1","","","","Section=introspection; Version=1.10.6-5","","","","","","","",""
"gir1.2-pango-1.0","gir1.2-pango-1.0","gir1.2-pango-1.0","Layout and rendering of internationalized text - gir bindings","","","1","1","","","","Section=introspection; Version=1.56.3-1","","","","","","","",""
"gir1.2-polkit-1.0","gir1.2-polkit-1.0","gir1.2-polkit-1.0","GObject introspection data for polkit","","","1","1","","","","Section=introspection; Version=126-2","","","","","","","",""
"gir1.2-rsvg-2.0","gir1.2-rsvg-2.0","gir1.2-rsvg-2.0","gir files for renderer library for SVG files","","","1","1","","","","Section=introspection; Version=2.60.0+dfsg-1","","","","","","","",""
"gir1.2-soup-3.0","gir1.2-soup-3.0","gir1.2-soup-3.0","GObject introspection data for the libsoup HTTP library","","","1","1","","","","Section=introspection; Version=3.6.5-3","","","","","","","",""
"gir1.2-upowerglib-1.0","gir1.2-upowerglib-1.0","gir1.2-upowerglib-1.0","GObject introspection data for upower","","","1","1","","","","Section=introspection; Version=1.90.9-1","","","","","","","",""
"gjs","gjs","gjs","Mozilla-based javascript bindings for the GNOME platform (cli tool)","","","1","1","","","","Section=interpreters; Version=1.82.3-1","","","","","","","",""
"gnome-control-center","gnome-control-center","gnome-control-center","utilities to configure the GNOME desktop","","","1","1","","","","Section=gnome; Version=1:48.4-1~deb13u1","","","","","","","",""
"gnome-settings-daemon","gnome-settings-daemon","gnome-settings-daemon","daemon handling the GNOME session settings","","","1","1","","","","Section=gnome; Version=48.1-1","","","","","","","",""
"gnome-shell-common","gnome-shell-common","gnome-shell-common","common files for the GNOME graphical shell","","","1","1","","","","Section=gnome; Version=48.4-1~deb13u1","","","","","","","",""
"gsettings-desktop-schemas","gsettings-desktop-schemas","gsettings-desktop-schemas","GSettings desktop-wide schemas","","","1","1","","","","Section=gnome; Version=48.0-1","","","","","","","",""
"gstreamer1.0-pipewire","gstreamer1.0-pipewire","gstreamer1.0-pipewire","GStreamer 1.0 plugin for the PipeWire multimedia server","","","1","1","","","","Section=libs; Version=1.4.2-1","","","","","","","",""
"libglib2.0-bin","libglib2.0-bin","libglib2.0-bin","Programs for the GLib library","","","1","1","","","","Section=misc; Version=2.84.4-3~deb13u1","","","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"tecla","tecla","tecla","keyboard layout viewer for the GNOME desktop","","","1","1","","","","Section=gnome; Version=48.0.2-1","","","","","","","",""
"dconf-gsettings-backend","dconf-gsettings-backend","dconf-gsettings-backend","simple configuration storage system - GSettings back-end","","","1","1","","","","Section=libs; Version=0.40.0-5","","","","","","","",""
"libatk-bridge2.0-0t64","libatk-bridge2.0-0t64","libatk-bridge2.0-0t64","AT-SPI 2 toolkit bridge - shared library","","","1","1","","","","Section=libs; Version=2.56.2-1","","","","","","","",""
"libatk1.0-0t64","libatk1.0-0t64","libatk1.0-0t64","ATK accessibility toolkit","","","1","1","","","","Section=libs; Version=2.56.2-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcairo2","libcairo2","libcairo2","Cairo 2D vector graphics library","","","1","1","","","","Section=libs; Version=1.18.4-1+b1","","","","","","","",""
"libecal-2.0-3","libecal-2.0-3","libecal-2.0-3","Client library for evolution calendars","","","1","1","","","","Section=libs; Version=3.56.1-2","","","","","","","",""
"libedataserver-1.2-27t64","libedataserver-1.2-27t64","libedataserver-1.2-27t64","Utility library for evolution data servers","","","1","1","","","","Section=libs; Version=3.56.1-2","","","","","","","",""
"libgcr-4-4","libgcr-4-4","libgcr-4-4","Library for Crypto related tasks","","","1","1","","","","Section=libs; Version=4.4.0.1-3","","","","","","","",""
"libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","GDK Pixbuf library","","","1","1","","","","Section=libs; Version=2.42.12+dfsg-4","","","","","","","",""
"libgirepository-1.0-1","libgirepository-1.0-1","libgirepository-1.0-1","Library for handling GObject introspection data (runtime library)","","","1","1","","","","Section=libs; Version=1.84.0-1","","","","","","","",""
"libgjs0g","libgjs0g","libgjs0g","Mozilla-based javascript bindings for the GNOME platform","","","1","1","","","","Section=libs; Version=1.82.3-1","","","","","","","",""
"libgles2","libgles2","libgles2","Vendor neutral GL dispatch library -- GLESv2 support","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
