id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"dirmngr","dirmngr","dirmngr","GNU privacy guard - network certificate management service","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","",""
"gpgconf","gpgconf","gpgconf","GNU privacy guard - core configuration utilities","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"init-system-helpers","init-system-helpers","init-system-helpers","helper tools for all init systems","","","1","1","","","","Section=admin; Version=1.69~deb13u1","","","","","",""
"libassuan9","libassuan9","libassuan9","IPC library for the GnuPG components","","","1","1","","","","Section=libs; Version=3.0.2-2","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libgcrypt20","libgcrypt20","libgcrypt20","LGPL Crypto library - runtime library","","","1","1","","","","Section=libs; Version=1.11.0-7","","","","","",""
"libgnutls30t64","libgnutls30t64","libgnutls30t64","GNU TLS library - main runtime library","","","1","1","","","","Section=libs; Version=3.8.9-3","","","","","",""
"libgpg-error0","libgpg-error0","libgpg-error0","GnuPG development runtime library","","","1","1","","","","Section=libs; Version=1.51-4","","","","","",""
"libksba8","libksba8","libksba8","X.509 and CMS support library","","","1","1","","","","Section=libs; Version=1.6.7-2+b1","","","","","",""
"libldap2","libldap2","libldap2","OpenLDAP libraries","","","1","1","","","","Section=libs; Version=2.6.10+dfsg-1","","","","","",""
"libnpth0t64","libnpth0t64","libnpth0t64","replacement for GNU Pth using system threads","","","1","1","","","","Section=libs; Version=1.8-3","","","","","",""
"gnupg","gnupg","gnupg","GNU privacy guard - a free PGP replacement","","","1","1","","","","Section=utils; Version=2.4.7-21","","","","","",""
"passwd","passwd","passwd","change and administer password and group data","","","1","1","","","","Section=admin; Version=1:4.17.4-2","","","","","",""
"libreadline8t64","libreadline8t64","libreadline8t64","GNU readline and history libraries, run-time libraries","","","1","1","","","","Section=libs; Version=8.2-6","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"libgmp10","libgmp10","libgmp10","Multiprecision arithmetic library","","","1","1","","","","Section=libs; Version=2:6.3.0+dfsg-3","","","","","",""
"libhogweed6t64","libhogweed6t64","libhogweed6t64","low level cryptographic library (public-key cryptos)","","","1","1","","","","Section=libs; Version=3.10.1-1","","","","","",""
"libnettle8t64","libnettle8t64","libnettle8t64","low level cryptographic library (symmetric and one-way cryptos)","","","1","1","","","","Section=libs; Version=3.10.1-1","","","","","",""
"libp11-kit0","libp11-kit0","libp11-kit0","library for loading and coordinating access to PKCS#11 modules - runtime","","","1","1","","","","Section=libs; Version=0.25.5-3","","","","","",""
"libtasn1-6","libtasn1-6","libtasn1-6","Manage ASN.1 structures (runtime)","","","1","1","","","","Section=libs; Version=4.20.0-2","","","","","",""
"libunistring5","libunistring5","libunistring5","Unicode string library for C","","","1","1","","","","Section=libs; Version=1.3-2","","","","","",""
"libgpg-error-l10n","libgpg-error-l10n","libgpg-error-l10n","library of error values and messages in GnuPG (localization files)","","","1","1","","","","Section=localization; Version=1.51-4","","","","","",""
"libsasl2-2","libsasl2-2","libsasl2-2","Cyrus SASL - authentication abstraction library","","","1","1","","","","Section=libs; Version=2.1.28+dfsg1-9","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","",""
"libldap-common","libldap-common","libldap-common","OpenLDAP common files for libraries","","","1","1","","","","Section=libs; Version=2.6.10+dfsg-1","","","","","",""
"gnupg-l10n","gnupg-l10n","gnupg-l10n","GNU privacy guard - localization files","","","1","1","","","","Section=localization; Version=2.4.7-21","","","","","",""
"gpg","gpg","gpg","GNU Privacy Guard -- minimalist public key operations","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"gpg-agent","gpg-agent","gpg-agent","GNU privacy guard - cryptographic agent","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"gpgsm","gpgsm","gpgsm","GNU privacy guard - S/MIME version","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"gnupg-utils","gnupg-utils","gnupg-utils","GNU privacy guard - utility programs","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"gpg-wks-client","gpg-wks-client","gpg-wks-client","GNU privacy guard - Web Key Service client","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"gpgv","gpgv","gpgv","GNU privacy guard - signature verification tool","","","1","1","","","","Section=utils; Version=2.4.7-21+b3","","","","","",""
"","","","","","","","","","","","","dirmngr","adduser","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","gpgconf","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","init-system-helpers","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libassuan9","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libgcrypt20","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libgnutls30t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libgpg-error0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libksba8","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libldap2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","libnpth0t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","dirmngr","gnupg","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","adduser","passwd","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gpgconf","libassuan9","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gpgconf","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gpgconf","libgcrypt20","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gpgconf","libgpg-error0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gpgconf","libreadline8t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libassuan9","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libassuan9","libgpg-error0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","libgcrypt20","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgcrypt20","libgpg-error0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libgmp10","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libhogweed6t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libidn2-0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libnettle8t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libp11-kit0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libtasn1-6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgnutls30t64","libunistring5","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgpg-error0","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgpg-error0","libgpg-error-l10n","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","libksba8","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libksba8","libgpg-error0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libldap2","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libldap2","libsasl2-2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libldap2","libssl3t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libldap2","libldap-common","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","libnpth0t64","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","dirmngr","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","dirmngr","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gnupg-l10n","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpg","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpg","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpg-agent","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpg-agent","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpgsm","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gpgsm","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","gnupg","gnupg-utils","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","gnupg","gnupg-utils","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","gnupg","gpg-wks-client","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","gnupg","gpg-wks-client","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","gnupg","gpgv","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","gnupg","gpgv","Recommends","#333","1","Recommends","{}"
