id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gnustep-base-common","gnustep-base-common","gnustep-base-common","GNUstep Base library - common files","","","1","1","","","","Section=gnustep; Version=1.31.1-3","","","","","","","",""
"ca-certificates","ca-certificates","ca-certificates","Common CA certificates","","","1","1","","","","Section=misc; Version=20250419","","","","","","","",""
"gnustep-common:any","gnustep-common:any","gnustep-common:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"tzdata-legacy","tzdata-legacy","tzdata-legacy","time zone data for TAI minus ten seconds","","","1","1","","","","Section=localization; Version=2025b-4+deb13u1","","","","","","","",""
"openssl","openssl","openssl","Secure Sockets Layer toolkit - cryptographic utility","","","1","1","","","","Section=utils; Version=3.5.1-1","","","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","","","",""
"tzdata","tzdata","tzdata","time zone and daylight-saving time data","","","1","1","","","","Section=localization; Version=2025b-4+deb13u1","","","","","","","",""
"","","","","","","","","","","","","gnustep-base-common","ca-certificates","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gnustep-base-common","gnustep-common:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gnustep-base-common","tzdata-legacy","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ca-certificates","openssl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ca-certificates","debconf","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","tzdata-legacy","tzdata","Depends","#333","1","Depends","arrow","{}"
