id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gccgo-go","gccgo-go","gccgo-go","Go programming language -- gccgo","","","1","1","","","","Section=devel; Version=2:1.24~2","","","","","","","",""
"g++-14","g++-14","g++-14","GNU C++ compiler","","","1","1","","","","Section=devel; Version=14.2.0-19","","","","","","","",""
"gccgo-14","gccgo-14","gccgo-14","GNU Go compiler","","","1","1","","","","Section=devel; Version=14.2.0-19","","","","","","","",""
"g++-14-x86-64-linux-gnu","g++-14-x86-64-linux-gnu","g++-14-x86-64-linux-gnu","GNU C++ compiler for x86_64-linux-gnu architecture","","","1","1","","","","Section=devel; Version=14.2.0-19","","","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"gcc-14","gcc-14","gcc-14","GNU C compiler","","","1","1","","","","Section=devel; Version=14.2.0-19","","","","","","","",""
"gccgo-14-x86-64-linux-gnu","gccgo-14-x86-64-linux-gnu","gccgo-14-x86-64-linux-gnu","GNU Go compiler for the x86_64-linux-gnu architecture","","","1","1","","","","Section=devel; Version=14.2.0-19","","","","","","","",""
"","","","","","","","","","","","","gccgo-go","g++-14","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gccgo-go","gccgo-14","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","g++-14","g++-14-x86-64-linux-gnu","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","g++-14","gcc-14-base","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","g++-14","gcc-14","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gccgo-14","gcc-14-base","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gccgo-14","gccgo-14-x86-64-linux-gnu","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gccgo-14","gcc-14","Depends","#333","1","Depends","arrow","{}"
