id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"graphviz","graphviz","graphviz","rich set of graph drawing tools","","","1","1","","","","Section=graphics; Version=2.42.4-3","","","","","",""
"libann0","libann0","libann0","Approximate Nearest Neighbor Searching library","","","1","1","","","","Section=libs; Version=1.1.2+doc-9+b1","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libcdt5","libcdt5","libcdt5","rich set of graph drawing tools - cdt library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
"libcgraph6","libcgraph6","libcgraph6","rich set of graph drawing tools - cgraph library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
"libexpat1","libexpat1","libexpat1","XML parsing C library - runtime library","","","1","1","","","","Section=libs; Version=2.7.1-2","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libgd3","libgd3","libgd3","GD Graphics Library","","","1","1","","","","Section=libs; Version=2.3.3-13","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","",""
"libgts-0.7-5t64","libgts-0.7-5t64","libgts-0.7-5t64","library to deal with 3D computational surface meshes","","","1","1","","","","Section=libs; Version=0.7.6+darcs121130-5.2+b1","","","","","",""
"libgvc6","libgvc6","libgvc6","rich set of graph drawing tools - gvc library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
"libgvpr2","libgvpr2","libgvpr2","rich set of graph drawing tools - gvpr library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
"liblab-gamut1","liblab-gamut1","liblab-gamut1","rich set of graph drawing tools - liblab_gamut library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","",""
"libxaw7","libxaw7","libxaw7","X11 Athena Widget library","","","1","1","","","","Section=libs; Version=2:1.0.16-1","","","","","",""
"libxmu6","libxmu6","libxmu6","X11 miscellaneous utility library","","","1","1","","","","Section=libs; Version=2:1.1.3-3+b4","","","","","",""
"libxt6t64","libxt6t64","libxt6t64","X11 toolkit intrinsics library","","","1","1","","","","Section=libs; Version=1:1.2.1-1.2+b2","","","","","",""
"fonts-liberation","fonts-liberation","fonts-liberation","fonts with the same metrics as Times, Arial and Courier","","","1","1","","","","Section=fonts; Version=1:2.1.5-3","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libavif16","libavif16","libavif16","Library for handling .avif files","","","1","1","","","","Section=libs; Version=1.2.1-1.2","","","","","",""
"libfontconfig1","libfontconfig1","libfontconfig1","generic font configuration library - runtime","","","1","1","","","","Section=libs; Version=2.15.0-2.3","","","","","",""
"libfreetype6","libfreetype6","libfreetype6","FreeType 2 font engine, shared library files","","","1","1","","","","Section=libs; Version=2.13.3+dfsg-1","","","","","",""
"libheif1","libheif1","libheif1","HEIF and AVIF file format decoder and encoder - shared library","","","1","1","","","","Section=libs; Version=1.19.8-1","","","","","",""
"libimagequant0","libimagequant0","libimagequant0","palette quantization library","","","1","1","","","","Section=libs; Version=2.18.0-1+b2","","","","","",""
"libjpeg62-turbo","libjpeg62-turbo","libjpeg62-turbo","libjpeg-turbo JPEG runtime library","","","1","1","","","","Section=libs; Version=1:2.1.5-4","","","","","",""
"libpng16-16t64","libpng16-16t64","libpng16-16t64","PNG library - runtime (version 1.6)","","","1","1","","","","Section=libs; Version=1.6.48-1","","","","","",""
"libtiff6","libtiff6","libtiff6","Tag Image File Format (TIFF) library","","","1","1","","","","Section=libs; Version=4.7.0-3","","","","","",""
"libwebp7","libwebp7","libwebp7","Lossy compression of digital photographic images (shared library)","","","1","1","","","","Section=libs; Version=1.5.0-0.1","","","","","",""
"libxpm4","libxpm4","libxpm4","X11 pixmap library","","","1","1","","","","Section=libs; Version=1:3.5.17-1+b3","","","","","",""
"libatomic1","libatomic1","libatomic1","support library providing __atomic built-in functions","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libffi8","libffi8","libffi8","Foreign Function Interface library runtime","","","1","1","","","","Section=libs; Version=3.4.8-2","","","","","",""
"libmount1","libmount1","libmount1","device mounting library","","","1","1","","","","Section=libs; Version=2.41-5","","","","","",""
"libpcre2-8-0","libpcre2-8-0","libpcre2-8-0","New Perl Compatible Regular Expression Library- 8 bit runtime files","","","1","1","","","","Section=libs; Version=10.46-1~deb13u1","","","","","",""
"libselinux1","libselinux1","libselinux1","SELinux runtime shared libraries","","","1","1","","","","Section=libs; Version=3.8.1-1","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","",""
"libglib2.0-data","libglib2.0-data","libglib2.0-data","Common files for GLib library","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","",""
"shared-mime-info","shared-mime-info","shared-mime-info","FreeDesktop.org shared MIME database and spec","","","1","1","","","","Section=misc; Version=2.4-5+b2","","","","","",""
"xdg-user-dirs","xdg-user-dirs","xdg-user-dirs","tool to manage well known user directories","","","1","1","","","","Section=utils; Version=0.18-2","","","","","",""
"libgts-bin","libgts-bin","libgts-bin","utility binaries for libgts","","","1","1","","","","Section=math; Version=0.7.6+darcs121130-5.2+b1","","","","","",""
"libcairo2","libcairo2","libcairo2","Cairo 2D vector graphics library","","","1","1","","","","Section=libs; Version=1.18.4-1+b1","","","","","",""
"libltdl7","libltdl7","libltdl7","System independent dlopen wrapper for GNU libtool","","","1","1","","","","Section=libs; Version=2.5.4-4","","","","","",""
"libpango-1.0-0","libpango-1.0-0","libpango-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","",""
"libpangocairo-1.0-0","libpangocairo-1.0-0","libpangocairo-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","",""
"libpangoft2-1.0-0","libpangoft2-1.0-0","libpangoft2-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","",""
"libpathplan4","libpathplan4","libpathplan4","rich set of graph drawing tools - pathplan library","","","1","1","","","","Section=libs; Version=2.42.4-3","","","","","",""
