id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-gst-plugins-bad-1.0","gir1.2-gst-plugins-bad-1.0","gir1.2-gst-plugins-bad-1.0","GObject introspection data for the GStreamer libraries from the ""bad"" set","","","1","1","","","","Section=introspection; Version=1.26.2-3","","","","","","","",""
"gir1.2-gobject-2.0","gir1.2-gobject-2.0","gir1.2-gobject-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-gst-1.0","gir1.2-gst-1.0","gir1.2-gst-1.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-gst-plugins-base-1.0","gir1.2-gst-plugins-base-1.0","gir1.2-gst-plugins-base-1.0","GObject introspection data for the GStreamer Plugins Base library","","","1","1","","","","Section=introspection; Version=1.26.2-1","","","","","","","",""
"gir1.2-gstbase-1.0","gir1.2-gstbase-1.0","gir1.2-gstbase-1.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-vulkan-1.0","gir1.2-vulkan-1.0","gir1.2-vulkan-1.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgstreamer-plugins-bad1.0-0","libgstreamer-plugins-bad1.0-0","libgstreamer-plugins-bad1.0-0","GStreamer libraries from the ""bad"" set","","","1","1","","","","Section=libs; Version=1.26.2-3","","","","","","","",""
"gir1.2-gio-2.0","gir1.2-gio-2.0","gir1.2-gio-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-glib-2.0","gir1.2-glib-2.0","gir1.2-glib-2.0","Introspection data for GLib, GObject, Gio and GModule","","","1","1","","","","Section=introspection; Version=2.84.4-3~deb13u1","","","","","","","",""
"gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgstreamer-gl1.0-0","libgstreamer-gl1.0-0","libgstreamer-gl1.0-0","GStreamer GL libraries","","","1","1","","","","Section=libs; Version=1.26.2-1","","","","","","","",""
"libgstreamer-plugins-base1.0-0","libgstreamer-plugins-base1.0-0","libgstreamer-plugins-base1.0-0","GStreamer libraries from the ""base"" set","","","1","1","","","","Section=libs; Version=1.26.2-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libdrm2","libdrm2","libdrm2","Userspace interface to kernel DRM services -- runtime","","","1","1","","","","Section=libs; Version=2.4.124-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libgstreamer1.0-0","libgstreamer1.0-0","libgstreamer1.0-0","Core GStreamer libraries and elements","","","1","1","","","","Section=libs; Version=1.26.2-2","","","","","","","",""
"libnice10","libnice10","libnice10","ICE library (shared library)","","","1","1","","","","Section=libs; Version=0.1.22-1","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libva-drm2","libva-drm2","libva-drm2","Video Acceleration (VA) API for Linux -- DRM runtime","","","1","1","","","","Section=libs; Version=2.22.0-3","","","","","","","",""
"libva2","libva2","libva2","Video Acceleration (VA) API for Linux -- runtime","","","1","1","","","","Section=libs; Version=2.22.0-3","","","","","","","",""
"libvulkan1","libvulkan1","libvulkan1","Vulkan loader library","","","1","1","","","","Section=libs; Version=1.4.309.0-1","","","","","","","",""
"libwayland-client0","libwayland-client0","libwayland-client0","wayland compositor infrastructure - client library","","","1","1","","","","Section=libs; Version=1.23.1-3","","","","","","","",""
"libxcb1","libxcb1","libxcb1","X C Binding","","","1","1","","","","Section=libs; Version=1.17.0-2+b1","","","","","","","",""
"libxkbcommon-x11-0","libxkbcommon-x11-0","libxkbcommon-x11-0","library to create keymaps with the XKB X11 protocol","","","1","1","","","","Section=libs; Version=1.7.0-2","","","","","","","",""
"libxkbcommon0","libxkbcommon0","libxkbcommon0","library interface to the XKB compiler - shared library","","","1","1","","","","Section=libs; Version=1.7.0-2","","","","","","","",""
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","gir1.2-gst-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","gir1.2-gst-plugins-base-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","gir1.2-gstbase-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","gir1.2-vulkan-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-bad-1.0","libgstreamer-plugins-bad1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-glib-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-gmodule-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-gst-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","gir1.2-gstbase-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","libgstreamer-gl1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gst-plugins-base-1.0","libgstreamer-plugins-base1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libdrm2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libgstreamer-gl1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libgstreamer-plugins-base1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libgstreamer1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgstreamer-plugins-bad1.0-0","libnice10","Depends","#333","1","Depends","arrow","{}"
