id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-gtk-2.0","gir1.2-gtk-2.0","gir1.2-gtk-2.0","GTK graphical user interface library -- gir bindings","","","1","1","","","","Section=introspection; Version=2.24.33-7","","","","","","","",""
"libgtk2.0-common","libgtk2.0-common","libgtk2.0-common","common files for the GTK graphical user interface library","","","1","1","","","","Section=oldlibs; Version=2.24.33-7","","","","","","","",""
"gir1.2-atk-1.0","gir1.2-atk-1.0","gir1.2-atk-1.0","ATK accessibility toolkit (GObject introspection)","","","1","1","","","","Section=introspection; Version=2.56.2-1","","","","","","","",""
"gir1.2-cairo-1.0","gir1.2-cairo-1.0","gir1.2-cairo-1.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","GDK Pixbuf library - GObject-Introspection","","","1","1","","","","Section=introspection; Version=2.42.12+dfsg-4","","","","","","","",""
"gir1.2-gio-2.0","gir1.2-gio-2.0","gir1.2-gio-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-pango-1.0","gir1.2-pango-1.0","gir1.2-pango-1.0","Layout and rendering of internationalized text - gir bindings","","","1","1","","","","Section=introspection; Version=1.56.3-1","","","","","","","",""
"gir1.2-xlib-2.0","gir1.2-xlib-2.0","gir1.2-xlib-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgtk2.0-0t64","libgtk2.0-0t64","libgtk2.0-0t64","GTK graphical user interface library - old version","","","1","1","","","","Section=oldlibs; Version=2.24.33-7","","","","","","","",""
"gir1.2-gobject-2.0","gir1.2-gobject-2.0","gir1.2-gobject-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libatk1.0-0t64","libatk1.0-0t64","libatk1.0-0t64","ATK accessibility toolkit","","","1","1","","","","Section=libs; Version=2.56.2-1","","","","","","","",""
"gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","GDK Pixbuf library","","","1","1","","","","Section=libs; Version=2.42.12+dfsg-4","","","","","","","",""
"gir1.2-fontconfig-2.0","gir1.2-fontconfig-2.0","gir1.2-fontconfig-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-freetype2-2.0","gir1.2-freetype2-2.0","gir1.2-freetype2-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-harfbuzz-0.0","gir1.2-harfbuzz-0.0","gir1.2-harfbuzz-0.0","OpenType text shaping engine (GObject introspection data)","","","1","1","","","","Section=introspection; Version=10.2.0-1+b1","","","","","","","",""
"gir1.2-xft-2.0","gir1.2-xft-2.0","gir1.2-xft-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libpango-1.0-0","libpango-1.0-0","libpango-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libpangocairo-1.0-0","libpangocairo-1.0-0","libpangocairo-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libpangoft2-1.0-0","libpangoft2-1.0-0","libpangoft2-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libpangoxft-1.0-0","libpangoxft-1.0-0","libpangoxft-1.0-0","Layout and rendering of internationalized text","","","1","1","","","","Section=libs; Version=1.56.3-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcairo2","libcairo2","libcairo2","Cairo 2D vector graphics library","","","1","1","","","","Section=libs; Version=1.18.4-1+b1","","","","","","","",""
"libcups2t64","libcups2t64","libcups2t64","Common UNIX Printing System(tm) - Core library","","","1","1","","","","Section=libs; Version=2.4.10-3","","","","","","","",""
"libfontconfig1","libfontconfig1","libfontconfig1","generic font configuration library - runtime","","","1","1","","","","Section=libs; Version=2.15.0-2.3","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","","","",""
"libxcomposite1","libxcomposite1","libxcomposite1","X11 Composite extension library","","","1","1","","","","Section=libs; Version=1:0.4.6-1","","","","","","","",""
"libxcursor1","libxcursor1","libxcursor1","X cursor management library","","","1","1","","","","Section=libs; Version=1:1.2.3-1","","","","","","","",""
"libxdamage1","libxdamage1","libxdamage1","X11 damaged region extension library","","","1","1","","","","Section=libs; Version=1:1.1.6-1+b2","","","","","","","",""
"libxext6","libxext6","libxext6","X11 miscellaneous extension library","","","1","1","","","","Section=libs; Version=2:1.3.4-1+b3","","","","","","","",""
"libxfixes3","libxfixes3","libxfixes3","X11 miscellaneous 'fixes' extension library","","","1","1","","","","Section=libs; Version=1:6.0.0-2+b4","","","","","","","",""
"libxi6","libxi6","libxi6","X11 Input extension library","","","1","1","","","","Section=libs; Version=2:1.8.2-1","","","","","","","",""
"libxinerama1","libxinerama1","libxinerama1","X11 Xinerama extension library","","","1","1","","","","Section=libs; Version=2:1.1.4-3+b4","","","","","","","",""
"libxrandr2","libxrandr2","libxrandr2","X11 RandR extension library","","","1","1","","","","Section=libs; Version=2:1.5.4-1+b3","","","","","","","",""
"libxrender1","libxrender1","libxrender1","X Rendering Extension client library","","","1","1","","","","Section=libs; Version=1:0.9.12-1","","","","","","","",""
"adwaita-icon-theme","adwaita-icon-theme","adwaita-icon-theme","default icon theme of GNOME","","","1","1","","","","Section=gnome; Version=48.1-1","","","","","","","",""
"hicolor-icon-theme","hicolor-icon-theme","hicolor-icon-theme","default fallback theme for FreeDesktop.org icon themes","","","1","1","","","","Section=misc; Version=0.18-2","","","","","","","",""
"shared-mime-info","shared-mime-info","shared-mime-info","FreeDesktop.org shared MIME database and spec","","","1","1","","","","Section=misc; Version=2.4-5+b2","","","","","","","",""
"gnome-themes-extra","gnome-themes-extra","gnome-themes-extra","Adwaita GTK 2 theme — engine","","","1","1","","","","Section=gnome; Version=3.28-4","","","","","","","",""
"libgail-common","libgail-common","libgail-common","GNOME Accessibility Implementation Library -- common modules","","","1","1","","","","Section=oldlibs; Version=2.24.33-7","","","","","","","",""
"librsvg2-common","librsvg2-common","librsvg2-common","SAX-based renderer library for SVG files (extra runtime)","","","1","1","","","","Section=libs; Version=2.60.0+dfsg-1","","","","","","","",""
"libgtk2.0-bin","libgtk2.0-bin","libgtk2.0-bin","programs for the GTK graphical user interface library","","","1","1","","","","Section=oldlibs; Version=2.24.33-7","","","","","","","",""
"","","","","","","","","","","","","gir1.2-gtk-2.0","libgtk2.0-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-atk-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-cairo-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-gdkpixbuf-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-pango-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","gir1.2-xlib-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gtk-2.0","libgtk2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-common","libgtk2.0-0t64","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","gir1.2-atk-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-atk-1.0","libatk1.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","gir1.2-gmodule-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","libgdk-pixbuf-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-cairo-1.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-fontconfig-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-freetype2-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-harfbuzz-0.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-xft-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","gir1.2-xlib-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","libpango-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","libpangocairo-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","libpangoft2-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-pango-1.0","libpangoxft-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libgtk2.0-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libatk1.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libcairo2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libcups2t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libfontconfig1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libgdk-pixbuf-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libpango-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libpangocairo-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libpangoft2-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libx11-6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxcomposite1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxcursor1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxdamage1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxext6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxfixes3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxi6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxinerama1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxrandr2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libxrender1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","adwaita-icon-theme","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","hicolor-icon-theme","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","shared-mime-info","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","gnome-themes-extra","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libgail-common","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","librsvg2-common","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgtk2.0-0t64","libgtk2.0-bin","Recommends","#333","1","Recommends","arrow","{}"
