id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gvfs,gvfs,gvfs,userspace virtual filesystem - GIO module,,,1,1,,,,Section=libs; Version=1.57.2-2,,,,,,,
gvfs-common,gvfs-common,gvfs-common,userspace virtual filesystem - common data files,,,1,1,,,,Section=libs; Version=1.57.2-2,,,,,,,
gvfs-daemons,gvfs-daemons,gvfs-daemons,userspace virtual filesystem - servers,,,1,1,,,,Section=libs; Version=1.57.2-2,,,,,,,
gvfs-libs,gvfs-libs,gvfs-libs,userspace virtual filesystem - private libraries,,,1,1,,,,Section=libs; Version=1.57.2-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
desktop-file-utils,desktop-file-utils,desktop-file-utils,Utilities for .desktop files,,,1,1,,,,Section=devel; Version=0.28-1,,,,,,,
lsof,lsof,lsof,utility to list open files,,,1,1,,,,Section=utils; Version=4.99.4+dfsg-2,,,,,,,
udisks2,udisks2,udisks2,D-Bus service to access and manipulate storage devices,,,1,1,,,,Section=admin; Version=2.10.1-12.1+deb13u1,,,,,,,
libbluray2,libbluray2,libbluray2,Blu-ray disc playback support library (shared library),,,1,1,,,,Section=libs; Version=1:1.3.4-1+b2,,,,,,,
libgudev-1.0-0,libgudev-1.0-0,libgudev-1.0-0,GObject-based wrapper library for libudev,,,1,1,,,,Section=libs; Version=238-6,,,,,,,
libsecret-1-0,libsecret-1-0,libsecret-1-0,Secret store,,,1,1,,,,Section=libs; Version=0.21.7-1,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
libudisks2-0,libudisks2-0,libudisks2-0,GObject based library to access udisks2,,,1,1,,,,Section=libs; Version=2.10.1-12.1+deb13u1,,,,,,,
dbus,dbus,dbus,simple interprocess messaging system (system message bus),,,1,1,,,,Section=admin; Version=1.16.2-2,,,,,,,
gsettings-desktop-schemas,gsettings-desktop-schemas,gsettings-desktop-schemas,GSettings desktop-wide schemas,,,1,1,,,,Section=gnome; Version=48.0-1,,,,,,,
libgcr-4-4,libgcr-4-4,libgcr-4-4,Library for Crypto related tasks,,,1,1,,,,Section=libs; Version=4.4.0.1-3,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libatomic1,libatomic1,libatomic1,support library providing __atomic built-in functions,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libffi8,libffi8,libffi8,Foreign Function Interface library runtime,,,1,1,,,,Section=libs; Version=3.4.8-2,,,,,,,
libmount1,libmount1,libmount1,device mounting library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libglib2.0-data,libglib2.0-data,libglib2.0-data,Common files for GLib library,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
shared-mime-info,shared-mime-info,shared-mime-info,FreeDesktop.org shared MIME database and spec,,,1,1,,,,Section=misc; Version=2.4-5+b2,,,,,,,
