id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-harfbuzz-0.0","gir1.2-harfbuzz-0.0","gir1.2-harfbuzz-0.0","OpenType text shaping engine (GObject introspection data)","","","1","1","","","","Section=introspection; Version=10.2.0-1+b1","","","","","","","",""
"gir1.2-freetype2-2.0","gir1.2-freetype2-2.0","gir1.2-freetype2-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-gobject-2.0","gir1.2-gobject-2.0","gir1.2-gobject-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libharfbuzz-gobject0","libharfbuzz-gobject0","libharfbuzz-gobject0","OpenType text shaping engine ICU backend (GObject library)","","","1","1","","","","Section=libs; Version=10.2.0-1+b1","","","","","","","",""
"libharfbuzz0b","libharfbuzz0b","libharfbuzz0b","OpenType text shaping engine (shared library)","","","1","1","","","","Section=libs; Version=10.2.0-1+b1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libfreetype6","libfreetype6","libfreetype6","FreeType 2 font engine, shared library files","","","1","1","","","","Section=libs; Version=2.13.3+dfsg-1","","","","","","","",""
"libgraphite2-3","libgraphite2-3","libgraphite2-3","Font rendering engine for Complex Scripts -- library","","","1","1","","","","Section=libs; Version=1.3.14-2+b1","","","","","","","",""
"","","","","","","","","","","","","gir1.2-harfbuzz-0.0","gir1.2-freetype2-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-harfbuzz-0.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-harfbuzz-0.0","libharfbuzz-gobject0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-harfbuzz-0.0","libharfbuzz0b","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz-gobject0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz-gobject0","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz-gobject0","libharfbuzz0b","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz0b","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz0b","libfreetype6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz0b","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libharfbuzz0b","libgraphite2-3","Depends","#333","1","Depends","arrow","{}"
