id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libghc-attoparsec-dev,libghc-attoparsec-dev,libghc-attoparsec-dev,Fast combinator parsing for bytestrings,,,1,1,,,,Section=haskell; Version=0.14.4-4+b1,,,,,,,
libghc-array-dev-0.5.6.0-65c23,libghc-array-dev-0.5.6.0-65c23,libghc-array-dev-0.5.6.0-65c23,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-bytestring-dev-0.11.5.3-7048d,libghc-bytestring-dev-0.11.5.3-7048d,libghc-bytestring-dev-0.11.5.3-7048d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-containers-dev-0.6.7-7a228,libghc-containers-dev-0.6.7-7a228,libghc-containers-dev-0.6.7-7a228,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-deepseq-dev-1.4.8.1-9013f,libghc-deepseq-dev-1.4.8.1-9013f,libghc-deepseq-dev-1.4.8.1-9013f,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-ghc-prim-dev-0.10.0-e2193,libghc-ghc-prim-dev-0.10.0-e2193,libghc-ghc-prim-dev-0.10.0-e2193,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-scientific-dev-0.3.7.0-4d9a8,libghc-scientific-dev-0.3.7.0-4d9a8,libghc-scientific-dev-0.3.7.0-4d9a8,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-text-dev-2.0.2-5b954,libghc-text-dev-2.0.2-5b954,libghc-text-dev-2.0.2-5b954,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-transformers-dev-0.6.1.0-5335d,libghc-transformers-dev-0.6.1.0-5335d,libghc-transformers-dev-0.6.1.0-5335d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgmp10,libgmp10,libgmp10,Multiprecision arithmetic library,,,1,1,,,,Section=libs; Version=2:6.3.0+dfsg-3,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,libghc-array-dev-0.5.6.0-65c23,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-base-dev-4.18.2.1-8e81e,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-bytestring-dev-0.11.5.3-7048d,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-containers-dev-0.6.7-7a228,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-deepseq-dev-1.4.8.1-9013f,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-ghc-prim-dev-0.10.0-e2193,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-scientific-dev-0.3.7.0-4d9a8,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-text-dev-2.0.2-5b954,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-transformers-dev-0.6.1.0-5335d,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgmp10,libghc-attoparsec-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libgmp10,Depends,#333,1,Depends,{}
