id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libghc-conduit-dev,libghc-conduit-dev,libghc-conduit-dev,streaming data processing library,,,1,1,,,,Section=haskell; Version=1.3.6-1+b1,,,,,,,
libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-bytestring-dev-0.11.5.3-7048d,libghc-bytestring-dev-0.11.5.3-7048d,libghc-bytestring-dev-0.11.5.3-7048d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-directory-dev-1.3.8.5-98ebe,libghc-directory-dev-1.3.8.5-98ebe,libghc-directory-dev-1.3.8.5-98ebe,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-exceptions-dev-0.10.7-0356d,libghc-exceptions-dev-0.10.7-0356d,libghc-exceptions-dev-0.10.7-0356d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-filepath-dev-1.4.300.1-f6cd4,libghc-filepath-dev-1.4.300.1-f6cd4,libghc-filepath-dev-1.4.300.1-f6cd4,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-mono-traversable-dev-1.0.20.0-da260,libghc-mono-traversable-dev-1.0.20.0-da260,libghc-mono-traversable-dev-1.0.20.0-da260,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-mtl-dev-2.3.1-f8119,libghc-mtl-dev-2.3.1-f8119,libghc-mtl-dev-2.3.1-f8119,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-primitive-dev-0.8.0.0-0ecbe,libghc-primitive-dev-0.8.0.0-0ecbe,libghc-primitive-dev-0.8.0.0-0ecbe,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-resourcet-dev-1.3.0-2d998,libghc-resourcet-dev-1.3.0-2d998,libghc-resourcet-dev-1.3.0-2d998,unknown,,,1,1,,,,missing in Packages file,,,,,,,
