id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libghc-resourcet-dev,libghc-resourcet-dev,libghc-resourcet-dev,deterministic allocation and freeing of scarce resources,,,1,1,,,,Section=haskell; Version=1.3.0-1+b1,,,,,,,
libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-containers-dev-0.6.7-7a228,libghc-containers-dev-0.6.7-7a228,libghc-containers-dev-0.6.7-7a228,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-exceptions-dev-0.10.7-0356d,libghc-exceptions-dev-0.10.7-0356d,libghc-exceptions-dev-0.10.7-0356d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-mtl-dev-2.3.1-f8119,libghc-mtl-dev-2.3.1-f8119,libghc-mtl-dev-2.3.1-f8119,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-primitive-dev-0.8.0.0-0ecbe,libghc-primitive-dev-0.8.0.0-0ecbe,libghc-primitive-dev-0.8.0.0-0ecbe,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-transformers-dev-0.6.1.0-5335d,libghc-transformers-dev-0.6.1.0-5335d,libghc-transformers-dev-0.6.1.0-5335d,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-unliftio-core-dev-0.2.1.0-20198,libghc-unliftio-core-dev-0.2.1.0-20198,libghc-unliftio-core-dev-0.2.1.0-20198,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgmp10,libgmp10,libgmp10,Multiprecision arithmetic library,,,1,1,,,,Section=libs; Version=2:6.3.0+dfsg-3,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,libghc-base-dev-4.18.2.1-8e81e,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-containers-dev-0.6.7-7a228,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-exceptions-dev-0.10.7-0356d,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-mtl-dev-2.3.1-f8119,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-primitive-dev-0.8.0.0-0ecbe,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-transformers-dev-0.6.1.0-5335d,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-unliftio-core-dev-0.2.1.0-20198,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgmp10,libghc-resourcet-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libgmp10,Depends,#333,1,Depends,{}
