id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
iamerican,iamerican,iamerican,American English dictionary for ispell (standard version),,,1,1,,,,Section=text; Version=3.4.06-1,,,,,,,
ienglish-common,ienglish-common,ienglish-common,Common files for British and American ispell dictionaries,,,1,1,,,,Section=text; Version=3.4.06-1,,,,,,,
dictionaries-common,dictionaries-common,dictionaries-common,spelling dictionaries - common utilities,,,1,1,,,,Section=text; Version=1.30.10,,,,,,,
ispell,ispell,ispell,International Ispell (an interactive spelling corrector),,,1,1,,,,Section=text; Version=3.4.06-1,,,,,,,
debconf,debconf,debconf,Debian configuration management system,,,1,1,,,,Section=admin; Version=1.5.91,,,,,,,
libtext-iconv-perl,libtext-iconv-perl,libtext-iconv-perl,module to convert between character sets in Perl,,,1,1,,,,Section=perl; Version=1.7-8+b4,,,,,,,
emacsen-common,emacsen-common,emacsen-common,Common facilities for all emacsen,,,1,1,,,,Section=editors; Version=3.0.8,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libtinfo6,libtinfo6,libtinfo6,shared low-level terminfo library for terminal handling,,,1,1,,,,Section=libs; Version=6.5+20250216-2,,,,,,,
wamerican,wamerican,wamerican,American English dictionary words for /usr/share/dict,,,1,1,,,,Section=text; Version=2020.12.07-4,,,,,,,
apt,apt,apt,commandline package manager,,,1,1,,,,Section=admin; Version=3.0.3,,,,,,,
debconf-i18n,debconf-i18n,debconf-i18n,full internationalization support for debconf,,,1,1,,,,Section=localization; Version=1.5.91,,,,,,,
,,,,,,,,,,,,ienglish-common,iamerican,Depends,#333,1,Depends,{}
,,,,,,,,,,,,dictionaries-common,iamerican,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ispell,iamerican,Depends,#333,1,Depends,{}
,,,,,,,,,,,,debconf,iamerican,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ispell,ienglish-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,iamerican,ienglish-common,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,debconf,dictionaries-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtext-iconv-perl,dictionaries-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,emacsen-common,dictionaries-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,ispell,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtinfo6,ispell,Depends,#333,1,Depends,{}
,,,,,,,,,,,,iamerican,ispell,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,wamerican,ispell,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,apt,debconf,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,debconf-i18n,debconf,Recommends,#333,1,Recommends,{}
