id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"jackd2","jackd2","jackd2","JACK Audio Connection Kit (server and example clients)","","","1","1","","","","Section=sound; Version=1.9.22~dfsg-4","","","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","","","",""
"libjack-jackd2-0","libjack-jackd2-0","libjack-jackd2-0","JACK Audio Connection Kit (libraries)","","","1","1","","","","Section=libs; Version=1.9.22~dfsg-4","","","","","","","",""
"python3-dbus","python3-dbus","python3-dbus","simple interprocess messaging system (Python 3 interface)","","","1","1","","","","Section=python; Version=1.4.0-1","","","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libasound2t64","libasound2t64","libasound2t64","shared library for ALSA applications","","","1","1","","","","Section=libs; Version=1.2.14-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libdbus-1-3","libdbus-1-3","libdbus-1-3","simple interprocess messaging system (library)","","","1","1","","","","Section=libs; Version=1.16.2-2","","","","","","","",""
"libexpat1","libexpat1","libexpat1","XML parsing C library - runtime library","","","1","1","","","","Section=libs; Version=2.7.1-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libopus0","libopus0","libopus0","Opus codec runtime library","","","1","1","","","","Section=libs; Version=1.5.2-2","","","","","","","",""
"libsamplerate0","libsamplerate0","libsamplerate0","Audio sample rate conversion library","","","1","1","","","","Section=libs; Version=0.2.2-4+b2","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libsystemd0","libsystemd0","libsystemd0","systemd utility library","","","1","1","","","","Section=libs; Version=257.8-1~deb13u1","","","","","","","",""
"jack-example-tools","jack-example-tools","jack-example-tools","JACK Audio Connection Kit (example clients)","","","1","1","","","","Section=sound; Version=4-4","","","","","","","",""
"jackd2-firewire","jackd2-firewire","jackd2-firewire","JACK Audio Connection Kit (FFADO backend)","","","1","1","","","","Section=sound; Version=1.9.22~dfsg-4","","","","","","","",""
"libpam-modules","libpam-modules","libpam-modules","Pluggable Authentication Modules for PAM","","","1","1","","","","Section=admin; Version=1.7.0-5","","","","","","","",""
"qjackctl","qjackctl","qjackctl","User interface for controlling the JACK sound server","","","1","1","","","","Section=sound; Version=1.0.4-1","","","","","","","",""
"apt","apt","apt","commandline package manager","","","1","1","","","","Section=admin; Version=3.0.3","","","","","","","",""
"debconf-i18n","debconf-i18n","debconf-i18n","full internationalization support for debconf","","","1","1","","","","Section=localization; Version=1.5.91","","","","","","","",""
"libdb5.3t64","libdb5.3t64","libdb5.3t64","Berkeley v5.3 Database Libraries [runtime]","","","1","1","","","","Section=libs; Version=5.3.28+dfsg2-9","","","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"python3-gi","python3-gi","python3-gi","Python 3 bindings for gobject-introspection libraries","","","1","1","","","","Section=python; Version=3.50.0-4+b1","","","","","","","",""
"libasound2-data","libasound2-data","libasound2-data","Configuration files and profiles for ALSA drivers","","","1","1","","","","Section=libs; Version=1.2.14-1","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"dbus","dbus","dbus","simple interprocess messaging system (system message bus)","","","1","1","","","","Section=admin; Version=1.16.2-2","","","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libcap2","libcap2","libcap2","POSIX 1003.1e capabilities (library)","","","1","1","","","","Section=libs; Version=1:2.75-10+b1","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"libreadline8t64","libreadline8t64","libreadline8t64","GNU readline and history libraries, run-time libraries","","","1","1","","","","Section=libs; Version=8.2-6","","","","","","","",""
"libsndfile1","libsndfile1","libsndfile1","Library for reading/writing audio files","","","1","1","","","","Section=libs; Version=1.2.2-2+b1","","","","","","","",""
"jackd","jackd","jackd","JACK Audio Connection Kit (default server package)","","","1","1","","","","Section=sound; Version=5+nmu1","","","","","","","",""
"libzita-alsa-pcmi0t64","libzita-alsa-pcmi0t64","libzita-alsa-pcmi0t64","C++ wrapper around the ALSA API","","","1","1","","","","Section=libs; Version=0.6.1-1.1+b1","","","","","","","",""
"libzita-resampler1","libzita-resampler1","libzita-resampler1","C++ library for resampling audio signals","","","1","1","","","","Section=libs; Version=1.11.2-1+b2","","","","","","","",""
"libffado2","libffado2","libffado2","FFADO API","","","1","1","","","","Section=libs; Version=2.4.9-2","","","","","","","",""
"libqt6core6t64","libqt6core6t64","libqt6core6t64","Qt 6 core module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6dbus6","libqt6dbus6","libqt6dbus6","Qt 6 D-Bus module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6gui6","libqt6gui6","libqt6gui6","Qt 6 GUI module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6network6","libqt6network6","libqt6network6","Qt 6 network module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6widgets6","libqt6widgets6","libqt6widgets6","Qt 6 widgets module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6xml6","libqt6xml6","libqt6xml6","Qt 6 XML module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"","","","","","","","","","","","","jackd2","debconf","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","jackd2","libjack-jackd2-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","jackd2","python3-dbus","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","jackd2","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","jackd2","libasound2t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","jackd2","libc6","Depends","#333","1","Depends","arrow","{}"
