id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"kwallet6","kwallet6","kwallet6","safe desktop-wide storage for passwords - kwalletd daemon","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6wallet-data","libkf6wallet-data","libkf6wallet-data","safe desktop-wide storage for passwords - data files","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6walletbackend6","libkf6walletbackend6","libkf6walletbackend6","safe desktop-wide storage for passwords - backend library","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgpgmepp6t64","libgpgmepp6t64","libgpgmepp6t64","C++ wrapper library for GPGME","","","1","1","","","","Section=libs; Version=1.24.2-3","","","","","","","",""
"libkf6colorscheme6","libkf6colorscheme6","libkf6colorscheme6","Classes to read and interact with KColorScheme","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6configcore6","libkf6configcore6","libkf6configcore6","configuration settings framework for Qt","","","1","1","","","","Section=libs; Version=6.13.0-2","","","","","","","",""
"libkf6coreaddons6","libkf6coreaddons6","libkf6coreaddons6","KDE Frameworks 6 addons to QtCore","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6crash6","libkf6crash6","libkf6crash6","Support for application crash analysis and bug report from apps","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6dbusaddons6","libkf6dbusaddons6","libkf6dbusaddons6","class library for qtdbus","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6i18n6","libkf6i18n6","libkf6i18n6","Advanced internationalization framework","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6notifications6","libkf6notifications6","libkf6notifications6","Framework for desktop notifications library","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
"libkf6wallet6","libkf6wallet6","libkf6wallet6","safe desktop-wide storage for passwords - shared library","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","","","",""
