id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"krb5-admin-server","krb5-admin-server","krb5-admin-server","MIT Kerberos master server (kadmind)","","","1","1","","","","Section=net; Version=1.21.3-5","","","","","",""
"krb5-kdc","krb5-kdc","krb5-kdc","MIT Kerberos key server (KDC)","","","1","1","","","","Section=net; Version=1.21.3-5","","","","","",""
"libkrb5-3","libkrb5-3","libkrb5-3","MIT Kerberos runtime libraries","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libcom-err2","libcom-err2","libcom-err2","common error description library","","","1","1","","","","Section=libs; Version=1.47.2-3+b3","","","","","",""
"libgssapi-krb5-2","libgssapi-krb5-2","libgssapi-krb5-2","MIT Kerberos runtime libraries - krb5 GSS-API Mechanism","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libgssrpc4t64","libgssrpc4t64","libgssrpc4t64","MIT Kerberos runtime libraries - GSS enabled ONCRPC","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libk5crypto3","libk5crypto3","libk5crypto3","MIT Kerberos runtime libraries - Crypto Library","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libkadm5srv-mit12","libkadm5srv-mit12","libkadm5srv-mit12","MIT Kerberos runtime libraries - KDC and Admin Server","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libkdb5-10t64","libkdb5-10t64","libkdb5-10t64","MIT Kerberos runtime libraries - Kerberos database","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libkrb5support0","libkrb5support0","libkrb5support0","MIT Kerberos runtime libraries - Support library","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libss2","libss2","libss2","command-line interface parsing library","","","1","1","","","","Section=libs; Version=1.47.2-3+b3","","","","","",""
"libverto1t64","libverto1t64","libverto1t64","Event loop abstraction for Libraries - Runtime","","","1","1","","","","Section=libs; Version=0.3.1-1.2+b2","","","","","",""
"krb5-config","krb5-config","krb5-config","Configuration files for Kerberos Version 5","","","1","1","","","","Section=net; Version=2.7","","","","","",""
"krb5-user","krb5-user","krb5-user","basic programs to authenticate using MIT Kerberos","","","1","1","","","","Section=net; Version=1.21.3-5","","","","","",""
"libverto-libev1t64","libverto-libev1t64","libverto-libev1t64","Event loop abstraction for Libraries - libev","","","1","1","","","","Section=libs; Version=0.3.1-1.2+b2","","","","","",""
"liblmdb0","liblmdb0","liblmdb0","Lightning Memory-Mapped Database shared library","","","1","1","","","","Section=libs; Version=0.9.31-1+b2","","","","","",""
"libkeyutils1","libkeyutils1","libkeyutils1","Linux Key Management Utilities (library)","","","1","1","","","","Section=libs; Version=1.6.3-6","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","",""
"krb5-locales","krb5-locales","krb5-locales","internationalization support for MIT Kerberos","","","1","1","","","","Section=localization; Version=1.21.3-5","","","","","",""
"apt","apt","apt","commandline package manager","","","1","1","","","","Section=admin; Version=3.0.3","","","","","",""
"debconf-i18n","debconf-i18n","debconf-i18n","full internationalization support for debconf","","","1","1","","","","Section=localization; Version=1.5.91","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"","","","","","","","","","","","","krb5-admin-server","krb5-kdc","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","krb5-admin-server","libkrb5-3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","krb5-admin-server","debconf","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","krb5-admin-server","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","krb5-admin-server","libcom-err2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","krb5-admin-server","libgssapi-krb5-2","Depends","#333","1","Depends","{}"
