id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libkf5service-bin,libkf5service-bin,libkf5service-bin,Advanced plugin and service introspection,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libkf5coreaddons5,libkf5coreaddons5,libkf5coreaddons5,KDE Frameworks 5 addons to QtCore,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libkf5i18n5,libkf5i18n5,libkf5i18n5,Advanced internationalization framework.,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libkf5service5,libkf5service5,libkf5service5,Advanced plugin and service introspection,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libqt5core5t64,libqt5core5t64,libqt5core5t64,Qt 5 core module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libkf5coreaddons-data,libkf5coreaddons-data,libkf5coreaddons-data,KDE Frameworks 5 addons to QtCore - data files,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
shared-mime-info,shared-mime-info,shared-mime-info,FreeDesktop.org shared MIME database and spec,,,1,1,,,,Section=misc; Version=2.4-5+b2,,,,,,,
libqt5dbus5t64,libqt5dbus5t64,libqt5dbus5t64,Qt 5 D-Bus module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libudev1,libudev1,libudev1,libudev shared library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
libkf5i18n-data,libkf5i18n-data,libkf5i18n-data,Advanced internationalization framework.,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libqt5qml5,libqt5qml5,libqt5qml5,Qt 5 QML module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-3,,,,,,,
libkf5service-data,libkf5service-data,libkf5service-data,Advanced plugin and service introspection,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libkf5configcore5,libkf5configcore5,libkf5configcore5,configuration settings framework for Qt,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libkf5dbusaddons5,libkf5dbusaddons5,libkf5dbusaddons5,class library for qtdbus,,,1,1,,,,Section=libs; Version=5.116.0-1,,,,,,,
libqt5xml5t64,libqt5xml5t64,libqt5xml5t64,Qt 5 XML module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
