id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libdrm-amdgpu1,libdrm-amdgpu1,libdrm-amdgpu1,Userspace interface to amdgpu-specific kernel DRM services -- runtime,,,1,1,,,,Section=libs; Version=2.4.124-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libdrm2,libdrm2,libdrm2,Userspace interface to kernel DRM services -- runtime,,,1,1,,,,Section=libs; Version=2.4.124-2,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libdrm-common,libdrm-common,libdrm-common,Userspace interface to kernel DRM services -- common files,,,1,1,,,,Section=libs; Version=2.4.124-2,,,,,,,
,,,,,,,,,,,,libc6,libdrm-amdgpu1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdrm2,libdrm-amdgpu1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libdrm-common,libdrm2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libdrm2,Depends,#333,1,Depends,{}
