id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
extract,extract,extract,displays meta-data from files of arbitrary type,,,1,1,,,,Section=utils; Version=1:1.13-8+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libextractor3,libextractor3,libextractor3,extracts meta-data from files of arbitrary type (library),,,1,1,,,,Section=libs; Version=1:1.13-8+b1,,,,,,,
libextractor-plugins-all,libextractor-plugins-all,libextractor-plugins-all,extracts meta-data from files of arbitrary type (plugins),,,1,1,,,,Section=libs; Version=1:1.13-8,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libapparmor1,libapparmor1,libapparmor1,changehat AppArmor library,,,1,1,,,,Section=libs; Version=4.1.0-1,,,,,,,
libbz2-1.0,libbz2-1.0,libbz2-1.0,high-quality block-sorting file compressor library - runtime,,,1,1,,,,Section=libs; Version=1.0.8-6,,,,,,,
libltdl7,libltdl7,libltdl7,System independent dlopen wrapper for GNU libtool,,,1,1,,,,Section=libs; Version=2.5.4-4,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libextractor-plugins-misc,libextractor-plugins-misc,libextractor-plugins-misc,extracts meta-data from files of arbitrary type (miscellaneous plugins),,,1,1,,,,Section=libs; Version=1:1.13-8+b1,,,,,,,
libextractor-plugin-archive,libextractor-plugin-archive,libextractor-plugin-archive,extracts meta-data from files of arbitrary type (archive plugin),,,1,1,,,,Section=libs; Version=1:1.13-8+b1,,,,,,,
libextractor-plugin-exiv2,libextractor-plugin-exiv2,libextractor-plugin-exiv2,extracts meta-data from files of arbitrary type (exiv2 plugin),,,1,1,,,,Section=libs; Version=1:1.13-8+b1,,,,,,,
libextractor-plugin-flac,libextractor-plugin-flac,libextractor-plugin-flac,extracts meta-data from files of arbitrary type (flac plugin),,,1,1,,,,Section=libs; Version=1:1.13-8+b1,,,,,,,
