id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libgd-dev,libgd-dev,libgd-dev,GD Graphics Library (development version),,,1,1,,,,Section=libdevel; Version=2.3.3-13,,,,,,,
libavif-dev,libavif-dev,libavif-dev,Library for handling .avif files (development files),,,1,1,,,,Section=libdevel; Version=1.2.1-1.2,,,,,,,
libfontconfig-dev,libfontconfig-dev,libfontconfig-dev,generic font configuration library - development,,,1,1,,,,Section=libdevel; Version=2.15.0-2.3,,,,,,,
libfreetype6-dev,libfreetype6-dev,libfreetype6-dev,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libgd3,libgd3,libgd3,GD Graphics Library,,,1,1,,,,Section=libs; Version=2.3.3-13,,,,,,,
libheif-dev,libheif-dev,libheif-dev,HEIF and AVIF file format decoder and encoder - development files,,,1,1,,,,Section=libdevel; Version=1.19.8-1,,,,,,,
libimagequant-dev,libimagequant-dev,libimagequant-dev,palette quantization library (development files),,,1,1,,,,Section=libdevel; Version=2.18.0-1+b2,,,,,,,
libjpeg-dev,libjpeg-dev,libjpeg-dev,Development files for the JPEG library [dummy package],,,1,1,,,,Section=libdevel; Version=1:2.1.5-4,,,,,,,
libpng-dev,libpng-dev,libpng-dev,PNG library - development (version 1.6),,,1,1,,,,Section=libdevel; Version=1.6.48-1,,,,,,,
libtiff-dev,libtiff-dev,libtiff-dev,"Tag Image File Format library (TIFF), development files",,,1,1,,,,Section=libdevel; Version=4.7.0-3,,,,,,,
libvpx-dev,libvpx-dev,libvpx-dev,VP8 and VP9 video codec (development files),,,1,1,,,,Section=libdevel; Version=1.15.0-2.1,,,,,,,
libwebp-dev,libwebp-dev,libwebp-dev,Lossy compression of digital photographic images (development files),,,1,1,,,,Section=libdevel; Version=1.5.0-0.1,,,,,,,
libx11-dev,libx11-dev,libx11-dev,X11 client-side library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.8.12-1,,,,,,,
libxpm-dev,libxpm-dev,libxpm-dev,X11 pixmap library (development headers),,,1,1,,,,Section=libdevel; Version=1:3.5.17-1+b3,,,,,,,
libz-dev,libz-dev,libz-dev,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libaom-dev,libaom-dev,libaom-dev,AV1 Video Codec Library -- Development Files,,,1,1,,,,Section=libdevel; Version=3.12.1-1,,,,,,,
libdav1d-dev,libdav1d-dev,libdav1d-dev,fast and small AV1 video stream decoder (development files),,,1,1,,,,Section=libdevel; Version=1.5.1-1,,,,,,,
librav1e-dev,librav1e-dev,librav1e-dev,Fastest and safest AV1 encoder - development files,,,1,1,,,,Section=libdevel; Version=0.7.1-9+b2,,,,,,,
libsvtav1enc-dev,libsvtav1enc-dev,libsvtav1enc-dev,Scalable Video Technology for AV1 (libsvtav1enc development files),,,1,1,,,,Section=libdevel; Version=2.3.0+dfsg-1,,,,,,,
libyuv-dev,libyuv-dev,libyuv-dev,Library for YUV scaling (development files),,,1,1,,,,Section=libs; Version=0.0.1904.20250204-1,,,,,,,
libavif16,libavif16,libavif16,Library for handling .avif files,,,1,1,,,,Section=libs; Version=1.2.1-1.2,,,,,,,
libfontconfig1,libfontconfig1,libfontconfig1,generic font configuration library - runtime,,,1,1,,,,Section=libs; Version=2.15.0-2.3,,,,,,,
libexpat1-dev,libexpat1-dev,libexpat1-dev,XML parsing C library - development kit,,,1,1,,,,Section=libdevel; Version=2.7.1-2,,,,,,,
libfreetype-dev,libfreetype-dev,libfreetype-dev,"FreeType 2 font engine, development files",,,1,1,,,,Section=libdevel; Version=2.13.3+dfsg-1,,,,,,,
uuid-dev,uuid-dev,uuid-dev,Universally Unique ID library - headers and static libraries,,,1,1,,,,Section=libdevel; Version=2.41-5,,,,,,,
pkgconf,pkgconf,pkgconf,manage compile and link flags for libraries,,,1,1,,,,Section=devel; Version=1.8.1-4,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
libheif1,libheif1,libheif1,HEIF and AVIF file format decoder and encoder - shared library,,,1,1,,,,Section=libs; Version=1.19.8-1,,,,,,,
libimagequant0,libimagequant0,libimagequant0,palette quantization library,,,1,1,,,,Section=libs; Version=2.18.0-1+b2,,,,,,,
libjpeg62-turbo,libjpeg62-turbo,libjpeg62-turbo,libjpeg-turbo JPEG runtime library,,,1,1,,,,Section=libs; Version=1:2.1.5-4,,,,,,,
libpng16-16t64,libpng16-16t64,libpng16-16t64,PNG library - runtime (version 1.6),,,1,1,,,,Section=libs; Version=1.6.48-1,,,,,,,
libtiff6,libtiff6,libtiff6,Tag Image File Format (TIFF) library,,,1,1,,,,Section=libs; Version=4.7.0-3,,,,,,,
libwebp7,libwebp7,libwebp7,Lossy compression of digital photographic images (shared library),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libxpm4,libxpm4,libxpm4,X11 pixmap library,,,1,1,,,,Section=libs; Version=1:3.5.17-1+b3,,,,,,,
libsharpyuv-dev,libsharpyuv-dev,libsharpyuv-dev,Library for sharp RGB to YUV conversion (development files),,,1,1,,,,Section=libdevel; Version=1.5.0-0.1,,,,,,,
libjpeg62-turbo-dev,libjpeg62-turbo-dev,libjpeg62-turbo-dev,Development files for the libjpeg-turbo JPEG library,,,1,1,,,,Section=libdevel; Version=1:2.1.5-4,,,,,,,
zlib1g-dev,zlib1g-dev,zlib1g-dev,compression library - development,,,1,1,,,,Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libpng-tools,libpng-tools,libpng-tools,PNG library - tools (version 1.6),,,1,1,,,,Section=libdevel; Version=1.6.48-1,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libjbig-dev,libjbig-dev,libjbig-dev,JBIGkit development files,,,1,1,,,,Section=libdevel; Version=2.1-6.1+b2,,,,,,,
liblzma-dev,liblzma-dev,liblzma-dev,XZ-format compression library - development files,,,1,1,,,,Section=libdevel; Version=5.8.1-1,,,,,,,
libzstd-dev,libzstd-dev,libzstd-dev,fast lossless compression algorithm -- development files,,,1,1,,,,Section=libdevel; Version=1.5.7+dfsg-1,,,,,,,
libtiffxx6,libtiffxx6,libtiffxx6,Tag Image File Format (TIFF) library -- C++ interface,,,1,1,,,,Section=libs; Version=4.7.0-3,,,,,,,
libdeflate-dev,libdeflate-dev,libdeflate-dev,headers for whole-buffer compression and decompression library,,,1,1,,,,Section=libdevel; Version=1.23-2,,,,,,,
liblerc-dev,liblerc-dev,liblerc-dev,Limited Error Raster Compression library (Development files),,,1,1,,,,Section=libdevel; Version=4.0.0+ds-5,,,,,,,
libvpx9,libvpx9,libvpx9,VP8 and VP9 video codec (shared library),,,1,1,,,,Section=libs; Version=1.15.0-2.1,,,,,,,
libwebpdemux2,libwebpdemux2,libwebpdemux2,Lossy compression of digital photographic images (libwebpdemux library),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libwebpmux3,libwebpmux3,libwebpmux3,Lossy compression of digital photographic images (libwebpmux library),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libwebpdecoder3,libwebpdecoder3,libwebpdecoder3,Library for the WebP graphics format (decode only),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxau-dev,libxau-dev,libxau-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.0.11-1,,,,,,,
libxdmcp-dev,libxdmcp-dev,libxdmcp-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.1.5-1,,,,,,,
x11proto-dev,x11proto-dev,x11proto-dev,X11 extension protocols and auxiliary headers,,,1,1,,,,Section=x11; Version=2024.1-1,,,,,,,
xtrans-dev,xtrans-dev,xtrans-dev,X transport library (development files),,,1,1,,,,Section=x11; Version=1.4.0-1,,,,,,,
libxcb1-dev,libxcb1-dev,libxcb1-dev,"X C Binding, development files",,,1,1,,,,Section=libdevel; Version=1.17.0-2+b1,,,,,,,
,,,,,,,,,,,,libavif-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgd3,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libheif-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libimagequant-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjpeg-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpng-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtiff-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libvpx-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libwebp-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxpm-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libz-dev,libgd-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libaom-dev,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdav1d-dev,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,librav1e-dev,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsvtav1enc-dev,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libyuv-dev,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libavif16,libavif-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1,libfontconfig-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libexpat1-dev,libfontconfig-dev,Depends,#333,1,Depends,{}
