id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-gudev-1.0","gir1.2-gudev-1.0","gir1.2-gudev-1.0","libgudev-1.0 introspection data","","","1","1","","","","Section=introspection; Version=238-6","","","","","","","",""
"gir1.2-gobject-2.0","gir1.2-gobject-2.0","gir1.2-gobject-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgudev-1.0-0","libgudev-1.0-0","libgudev-1.0-0","GObject-based wrapper library for libudev","","","1","1","","","","Section=libs; Version=238-6","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libudev1","libudev1","libudev1","libudev shared library","","","1","1","","","","Section=libs; Version=257.8-1~deb13u1","","","","","","","",""
"","","","","","","","","","","","","gir1.2-gudev-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gudev-1.0","libgudev-1.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgudev-1.0-0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgudev-1.0-0","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgudev-1.0-0","libudev1","Depends","#333","1","Depends","arrow","{}"
