id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libjson-xs-perl,libjson-xs-perl,libjson-xs-perl,module for manipulating JSON-formatted data (C/XS-accelerated),,,1,1,,,,Section=perl; Version=4.030-2+b5,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcommon-sense-perl,libcommon-sense-perl,libcommon-sense-perl,module that implements some sane defaults for Perl programs,,,1,1,,,,Section=perl; Version=3.75-3+b5,,,,,,,
libtypes-serialiser-perl,libtypes-serialiser-perl,libtypes-serialiser-perl,module providing simple data types for common serialisation formats,,,1,1,,,,Section=perl; Version=1.01-1,,,,,,,
perl-base,perl-base,perl-base,minimal Perl system,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perl-modules-5.40,perl-modules-5.40,perl-modules-5.40,Core Perl modules,,,1,1,,,,Section=libs; Version=5.40.1-6,,,,,,,
libperl5.40,libperl5.40,libperl5.40,shared Perl library,,,1,1,,,,Section=libs; Version=5.40.1-6,,,,,,,
netbase,netbase,netbase,Basic TCP/IP networking system,,,1,1,,,,Section=admin; Version=6.5,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
perlapi-5.40.1,perlapi-5.40.1,perlapi-5.40.1,unknown,,,1,1,,,,missing in Packages file,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
,,,,,,,,,,,,perl,libjson-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.0,libjson-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libjson-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcommon-sense-perl,libjson-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtypes-serialiser-perl,libjson-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl-base,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl-modules-5.40,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libperl5.40,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,netbase,perl,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,perl,libcommon-sense-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.1,libcommon-sense-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,libcommon-sense-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libtypes-serialiser-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcommon-sense-perl,libtypes-serialiser-perl,Depends,#333,1,Depends,{}
