id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
liblist-moreutils-perl,liblist-moreutils-perl,liblist-moreutils-perl,Perl module with additional list functions not found in List::Util,,,1,1,,,,Section=perl; Version=0.430-2,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libexporter-tiny-perl,libexporter-tiny-perl,libexporter-tiny-perl,tiny exporter similar to Sub::Exporter,,,1,1,,,,Section=perl; Version=1.006002-1,,,,,,,
liblist-moreutils-xs-perl,liblist-moreutils-xs-perl,liblist-moreutils-xs-perl,Perl module providing compiled List::MoreUtils functions,,,1,1,,,,Section=perl; Version=0.430-4+b2,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
perl-base,perl-base,perl-base,minimal Perl system,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perl-modules-5.40,perl-modules-5.40,perl-modules-5.40,Core Perl modules,,,1,1,,,,Section=libs; Version=5.40.1-6,,,,,,,
libperl5.40,libperl5.40,libperl5.40,shared Perl library,,,1,1,,,,Section=libs; Version=5.40.1-6,,,,,,,
netbase,netbase,netbase,Basic TCP/IP networking system,,,1,1,,,,Section=admin; Version=6.5,,,,,,,
,,,,,,,,,,,,perl:any,liblist-moreutils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libexporter-tiny-perl,liblist-moreutils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblist-moreutils-xs-perl,liblist-moreutils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,liblist-moreutils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libexporter-tiny-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,liblist-moreutils-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.0,liblist-moreutils-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,liblist-moreutils-xs-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl-base,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl-modules-5.40,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libperl5.40,perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,netbase,perl,Recommends,#333,1,Recommends,{}
