id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libnet-dns-perl","libnet-dns-perl","libnet-dns-perl","module to perform DNS queries","","","1","1","","","","Section=perl; Version=1.50-1","","","","","","","",""
"perl:any","perl:any","perl:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libdigest-hmac-perl","libdigest-hmac-perl","libdigest-hmac-perl","module for creating standard message integrity checks","","","1","1","","","","Section=perl; Version=1.05+dfsg-1","","","","","","","",""
"libdigest-sha-perl","libdigest-sha-perl","libdigest-sha-perl","Perl extension for SHA-1/224/256/384/512, SHA-512/224 and SHA-512/256","","","1","1","","","","Section=perl; Version=6.04-1+b3","","","","","","","",""
"libencode-perl","libencode-perl","libencode-perl","module providing interfaces between Perl's strings and the system","","","1","1","","","","Section=perl; Version=3.21-1+b2","","","","","","","",""
"libio-socket-ip-perl","libio-socket-ip-perl","libio-socket-ip-perl","module for using IPv4 and IPv6 sockets in a protocol-independent way","","","1","1","","","","Section=perl; Version=0.43-1","","","","","","","",""
"libscalar-list-utils-perl","libscalar-list-utils-perl","libscalar-list-utils-perl","modules providing common scalar and list utility subroutines","","","1","1","","","","Section=perl; Version=1:1.63-1+b4","","","","","","","",""
"libsocket-perl","libsocket-perl","libsocket-perl","networking constants and support functions","","","1","1","","","","Section=perl; Version=2.038-1+b1","","","","","","","",""
"libdigest-bubblebabble-perl","libdigest-bubblebabble-perl","libdigest-bubblebabble-perl","perl module to create bubble-babble fingerprints","","","1","1","","","","Section=perl; Version=0.02-2.1","","","","","","","",""
"libnet-dns-sec-perl","libnet-dns-sec-perl","libnet-dns-sec-perl","DNSSEC extension to NET::DNS","","","1","1","","","","Section=perl; Version=1.26-1+b1","","","","","","","",""
"libnet-libidn2-perl","libnet-libidn2-perl","libnet-libidn2-perl","Perl bindings for GNU Libidn2","","","1","1","","","","Section=perl; Version=1.02-1+b3","","","","","","","",""
"libperl4-corelibs-perl","libperl4-corelibs-perl","libperl4-corelibs-perl","libraries historically supplied with Perl 4","","","1","1","","","","Section=perl; Version=0.005-1","","","","","","","",""
"perl","perl","perl","Larry Wall's Practical Extraction and Report Language","","","1","1","","","","Section=perl; Version=5.40.1-6","","","","","","","",""
"perlapi-5.40.0","perlapi-5.40.0","perlapi-5.40.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"netbase","netbase","netbase","Basic TCP/IP networking system","","","1","1","","","","Section=admin; Version=6.5","","","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","","","",""
