id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-notify-0.7","gir1.2-notify-0.7","gir1.2-notify-0.7","sends desktop notifications to a notification daemon (Introspection files)","","","1","1","","","","Section=introspection; Version=0.8.6-1","","","","","","","",""
"gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","gir1.2-gdkpixbuf-2.0","GDK Pixbuf library - GObject-Introspection","","","1","1","","","","Section=introspection; Version=2.42.12+dfsg-4","","","","","","","",""
"gir1.2-glib-2.0","gir1.2-glib-2.0","gir1.2-glib-2.0","Introspection data for GLib, GObject, Gio and GModule","","","1","1","","","","Section=introspection; Version=2.84.4-3~deb13u1","","","","","","","",""
"libnotify4","libnotify4","libnotify4","sends desktop notifications to a notification daemon","","","1","1","","","","Section=libs; Version=0.8.6-1","","","","","","","",""
"gir1.2-gio-2.0","gir1.2-gio-2.0","gir1.2-gio-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","gir1.2-gmodule-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","libgdk-pixbuf-2.0-0","GDK Pixbuf library","","","1","1","","","","Section=libs; Version=2.42.12+dfsg-4","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"","","","","","","","","","","","","gir1.2-notify-0.7","gir1.2-gdkpixbuf-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-notify-0.7","gir1.2-glib-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-notify-0.7","libnotify4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","gir1.2-gmodule-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-gdkpixbuf-2.0","libgdk-pixbuf-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-glib-2.0","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnotify4","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnotify4","libgdk-pixbuf-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnotify4","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
