id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
librdf-trine-perl,librdf-trine-perl,librdf-trine-perl,RDF Framework for Perl,,,1,1,,,,Section=perl; Version=1.019-4,,,,,,,
libalgorithm-combinatorics-perl,libalgorithm-combinatorics-perl,libalgorithm-combinatorics-perl,module for the efficient generation of combinatorial sequences,,,1,1,,,,Section=perl; Version=0.27-3+b4,,,,,,,
libcache-lru-perl,libcache-lru-perl,libcache-lru-perl,"simple, fast implementation of LRU cache",,,1,1,,,,Section=perl; Version=0.04-4,,,,,,,
libdbd-sqlite3-perl,libdbd-sqlite3-perl,libdbd-sqlite3-perl,Perl DBI driver with a self-contained RDBMS,,,1,1,,,,Section=perl; Version=1.76-1,,,,,,,
libdbi-perl,libdbi-perl,libdbi-perl,Perl Database Interface (DBI),,,1,1,,,,Section=perl; Version=1.647-1,,,,,,,
libdbix-connector-perl,libdbix-connector-perl,libdbix-connector-perl,fast and safe DBI connection and transaction management,,,1,1,,,,Section=perl; Version=0.60-1,,,,,,,
liberror-perl,liberror-perl,liberror-perl,Perl module for error/exception handling in an OO-ish way,,,1,1,,,,Section=perl; Version=0.17030-1,,,,,,,
libiri-perl,libiri-perl,libiri-perl,Handle Internationalized Resource Identifiers in Perl,,,1,1,,,,Section=perl; Version=0.013-1,,,,,,,
libjson-perl,libjson-perl,libjson-perl,module for manipulating JSON-formatted data,,,1,1,,,,Section=perl; Version=4.10000-1,,,,,,,
liblog-log4perl-perl,liblog-log4perl-perl,liblog-log4perl-perl,Perl port of the widely popular log4j logging package,,,1,1,,,,Section=perl; Version=1.57-1,,,,,,,
libmoose-perl,libmoose-perl,libmoose-perl,modern Perl object system framework,,,1,1,,,,Section=perl; Version=2.2207-1+b3,,,,,,,
libmoosex-arrayref-perl,libmoosex-arrayref-perl,libmoosex-arrayref-perl,blessed arrayrefs with Moose,,,1,1,,,,Section=perl; Version=0.005-4,,,,,,,
libossp-uuid-perl,libossp-uuid-perl,libossp-uuid-perl,perl OSSP::UUID - OSSP uuid Perl Binding,,,1,1,,,,Section=perl; Version=1.6.4-1,,,,,,,
libset-scalar-perl,libset-scalar-perl,libset-scalar-perl,Perl interface for operations on finite sets,,,1,1,,,,Section=perl; Version=1.29-3,,,,,,,
libtext-csv-xs-perl,libtext-csv-xs-perl,libtext-csv-xs-perl,Perl C/XS module to process Comma-Separated Value files,,,1,1,,,,Section=perl; Version=1.60-1,,,,,,,
libtext-table-perl,libtext-table-perl,libtext-table-perl,Create tables that adapt to alignment requirements,,,1,1,,,,Section=perl; Version=1.132-1+b1,,,,,,,
liburi-perl,liburi-perl,liburi-perl,module to manipulate and access URI strings,,,1,1,,,,Section=perl; Version=5.30-1,,,,,,,
libwww-perl,libwww-perl,libwww-perl,simple and consistent interface to the world-wide web,,,1,1,,,,Section=perl; Version=6.78-1,,,,,,,
libxml-commonns-perl,libxml-commonns-perl,libxml-commonns-perl,list of commonly used XML namespaces,,,1,1,,,,Section=perl; Version=0.06-5,,,,,,,
libxml-namespace-perl,libxml-namespace-perl,libxml-namespace-perl,simple support for XML namespaces,,,1,1,,,,Section=perl; Version=0.02-6,,,,,,,
libxml-sax-perl,libxml-sax-perl,libxml-sax-perl,Perl module for using and building Perl SAX2 XML processors,,,1,1,,,,Section=perl; Version=1.02+dfsg-4,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
librdf-trine-node-literal-xml-perl,librdf-trine-node-literal-xml-perl,librdf-trine-node-literal-xml-perl,RDF Node class for XML Literals,,,1,1,,,,Section=perl; Version=0.16-4,,,,,,,
libxml-libxml-perl,libxml-libxml-perl,libxml-libxml-perl,Perl interface to the libxml2 library,,,1,1,,,,Section=perl; Version=2.0207+dfsg+really+2.0134-5+b2,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
perl-dbdabi-94,perl-dbdabi-94,perl-dbdabi-94,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libsqlite3-0,libsqlite3-0,libsqlite3-0,SQLite 3 shared library,,,1,1,,,,Section=libs; Version=3.46.1-7,,,,,,,
libmoo-perl,libmoo-perl,libmoo-perl,Minimalist Object Orientation library (with Moose compatibility),,,1,1,,,,Section=perl; Version=2.005005-1,,,,,,,
libmoox-handlesvia-perl,libmoox-handlesvia-perl,libmoox-handlesvia-perl,Moose Native Traits-like behavior for Moo,,,1,1,,,,Section=perl; Version=0.001009-2,,,,,,,
libtry-tiny-perl,libtry-tiny-perl,libtry-tiny-perl,module providing minimalistic try/catch,,,1,1,,,,Section=perl; Version=0.32-1,,,,,,,
libtype-tiny-perl,libtype-tiny-perl,libtype-tiny-perl,"tiny, yet Moo(se)-compatible type constraint",,,1,1,,,,Section=perl; Version=2.004000-2,,,,,,,
libjson-xs-perl,libjson-xs-perl,libjson-xs-perl,module for manipulating JSON-formatted data (C/XS-accelerated),,,1,1,,,,Section=perl; Version=4.030-2+b5,,,,,,,
