id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gir1.2-secret-1,gir1.2-secret-1,gir1.2-secret-1,Secret store (GObject-Introspection),,,1,1,,,,Section=introspection; Version=0.21.7-1,,,,,,,
gir1.2-gio-2.0,gir1.2-gio-2.0,gir1.2-gio-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-gobject-2.0,gir1.2-gobject-2.0,gir1.2-gobject-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libsecret-1-0,libsecret-1-0,libsecret-1-0,Secret store,,,1,1,,,,Section=libs; Version=0.21.7-1,,,,,,,
libsecret-common,libsecret-common,libsecret-common,Secret store (common files),,,1,1,,,,Section=libs; Version=0.21.7-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcrypt20,libgcrypt20,libgcrypt20,LGPL Crypto library - runtime library,,,1,1,,,,Section=libs; Version=1.11.0-7,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
,,,,,,,,,,,,gir1.2-gio-2.0,gir1.2-secret-1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gir1.2-gobject-2.0,gir1.2-secret-1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsecret-1-0,gir1.2-secret-1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsecret-common,libsecret-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libsecret-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcrypt20,libsecret-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libsecret-1-0,Depends,#333,1,Depends,{}
