id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libxcb1","libxcb1","libxcb1","X C Binding","","","1","1","","","","Section=libs; Version=1.17.0-2+b1","","","","","","","",""
"libx11-data","libx11-data","libx11-data","X11 client-side library","","","1","1","","","","Section=x11; Version=2:1.8.12-1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libxau6","libxau6","libxau6","X11 authorisation library","","","1","1","","","","Section=libs; Version=1:1.0.11-1","","","","","","","",""
"libxdmcp6","libxdmcp6","libxdmcp6","X11 Display Manager Control Protocol library","","","1","1","","","","Section=libs; Version=1:1.1.5-1","","","","","","","",""
"","","","","","","","","","","","","libx11-6","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-6","libxcb1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-6","libx11-data","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libxcb1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxcb1","libxau6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxcb1","libxdmcp6","Depends","#333","1","Depends","arrow","{}"
