id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libxdamage-dev","libxdamage-dev","libxdamage-dev","X11 damaged region extension library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.1.6-1+b2","","","","","",""
"libxdamage1","libxdamage1","libxdamage1","X11 damaged region extension library","","","1","1","","","","Section=libs; Version=1:1.1.6-1+b2","","","","","",""
"libx11-dev","libx11-dev","libx11-dev","X11 client-side library (development headers)","","","1","1","","","","Section=libdevel; Version=2:1.8.12-1","","","","","",""
"libxfixes-dev","libxfixes-dev","libxfixes-dev","X11 miscellaneous 'fixes' extension library (development headers)","","","1","1","","","","Section=libdevel; Version=1:6.0.0-2+b4","","","","","",""
"x11proto-dev","x11proto-dev","x11proto-dev","X11 extension protocols and auxiliary headers","","","1","1","","","","Section=x11; Version=2024.1-1","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","",""
"libxau-dev","libxau-dev","libxau-dev","X11 authorisation library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.0.11-1","","","","","",""
"libxdmcp-dev","libxdmcp-dev","libxdmcp-dev","X11 authorisation library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.1.5-1","","","","","",""
"xtrans-dev","xtrans-dev","xtrans-dev","X transport library (development files)","","","1","1","","","","Section=x11; Version=1.4.0-1","","","","","",""
"libxcb1-dev","libxcb1-dev","libxcb1-dev","X C Binding, development files","","","1","1","","","","Section=libdevel; Version=1.17.0-2+b1","","","","","",""
"libxfixes3","libxfixes3","libxfixes3","X11 miscellaneous 'fixes' extension library","","","1","1","","","","Section=libs; Version=1:6.0.0-2+b4","","","","","",""
"xorg-sgml-doctools","xorg-sgml-doctools","xorg-sgml-doctools","Common tools for building X.Org SGML documentation","","","1","1","","","","Section=x11; Version=1:1.11-1.1","","","","","",""
"","","","","","","","","","","","","libxdamage-dev","libxdamage1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxdamage-dev","libx11-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxdamage-dev","libxfixes-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxdamage-dev","x11proto-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxdamage1","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxdamage1","libx11-6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","libx11-6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","libxau-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","libxdmcp-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","x11proto-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","xtrans-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libx11-dev","libxcb1-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxfixes-dev","libxfixes3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxfixes-dev","libx11-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libxfixes-dev","x11proto-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11proto-dev","xorg-sgml-doctools","Depends","#333","1","Depends","{}"
