id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gir1.2-libxfce4util-1.0","gir1.2-libxfce4util-1.0","gir1.2-libxfce4util-1.0","Typelib file for libxfce4util","","","1","1","","","","Section=introspection; Version=4.20.1-1","","","","","","","",""
"gir1.2-gio-2.0","gir1.2-gio-2.0","gir1.2-gio-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"gir1.2-glib-2.0","gir1.2-glib-2.0","gir1.2-glib-2.0","Introspection data for GLib, GObject, Gio and GModule","","","1","1","","","","Section=introspection; Version=2.84.4-3~deb13u1","","","","","","","",""
"gir1.2-gobject-2.0","gir1.2-gobject-2.0","gir1.2-gobject-2.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libxfce4util7","libxfce4util7","libxfce4util7","Utility functions library for Xfce4","","","1","1","","","","Section=libs; Version=4.20.1-1","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libxfce4util-common","libxfce4util-common","libxfce4util-common","common files for libxfce4util","","","1","1","","","","Section=xfce; Version=4.20.1-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libxfce4util-bin","libxfce4util-bin","libxfce4util-bin","tools for libxfce4util","","","1","1","","","","Section=xfce; Version=4.20.1-1","","","","","","","",""
"","","","","","","","","","","","","gir1.2-libxfce4util-1.0","gir1.2-gio-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-libxfce4util-1.0","gir1.2-glib-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-libxfce4util-1.0","gir1.2-gobject-2.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-libxfce4util-1.0","libxfce4util7","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","gir1.2-glib-2.0","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxfce4util7","libxfce4util-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxfce4util7","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxfce4util7","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxfce4util7","libxfce4util-bin","Recommends","#333","1","Recommends","arrow","{}"
