id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libxinerama-dev","libxinerama-dev","libxinerama-dev","X11 Xinerama extension library (development headers)","","","1","1","","","","Section=libdevel; Version=2:1.1.4-3+b4","","","","","","","",""
"libxinerama1","libxinerama1","libxinerama1","X11 Xinerama extension library","","","1","1","","","","Section=libs; Version=2:1.1.4-3+b4","","","","","","","",""
"libx11-dev","libx11-dev","libx11-dev","X11 client-side library (development headers)","","","1","1","","","","Section=libdevel; Version=2:1.8.12-1","","","","","","","",""
"libxext-dev","libxext-dev","libxext-dev","X11 miscellaneous extensions library (development headers)","","","1","1","","","","Section=libdevel; Version=2:1.3.4-1+b3","","","","","","","",""
"x11proto-dev","x11proto-dev","x11proto-dev","X11 extension protocols and auxiliary headers","","","1","1","","","","Section=x11; Version=2024.1-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","","","",""
"libxext6","libxext6","libxext6","X11 miscellaneous extension library","","","1","1","","","","Section=libs; Version=2:1.3.4-1+b3","","","","","","","",""
"libxau-dev","libxau-dev","libxau-dev","X11 authorisation library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.0.11-1","","","","","","","",""
"libxdmcp-dev","libxdmcp-dev","libxdmcp-dev","X11 authorisation library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.1.5-1","","","","","","","",""
"xtrans-dev","xtrans-dev","xtrans-dev","X transport library (development files)","","","1","1","","","","Section=x11; Version=1.4.0-1","","","","","","","",""
"libxcb1-dev","libxcb1-dev","libxcb1-dev","X C Binding, development files","","","1","1","","","","Section=libdevel; Version=1.17.0-2+b1","","","","","","","",""
"xorg-sgml-doctools","xorg-sgml-doctools","xorg-sgml-doctools","Common tools for building X.Org SGML documentation","","","1","1","","","","Section=x11; Version=1:1.11-1.1","","","","","","","",""
"","","","","","","","","","","","","libxinerama-dev","libxinerama1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama-dev","libx11-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama-dev","libxext-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama-dev","x11proto-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama1","libx11-6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxinerama1","libxext6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","libx11-6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","libxau-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","libxdmcp-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","x11proto-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","xtrans-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libx11-dev","libxcb1-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxext-dev","libxext6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxext-dev","x11proto-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libxext-dev","libx11-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","x11proto-dev","xorg-sgml-doctools","Depends","#333","1","Depends","arrow","{}"
